date,hour,solar_system,solar_centerwest,solar_northwest,solar_farwest,solar_fareast,solar_southeast,solar_centereast
06/29/2022,1,0.2,0.0,0.0,0.0,0.1,0.0,0.1
06/29/2022,2,0.19,0.0,0.0,0.0,0.1,0.0,0.09
06/29/2022,3,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/29/2022,4,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/29/2022,5,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/29/2022,6,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/29/2022,7,48.41,2.97,2.48,0.62,33.34,0.38,8.62
06/29/2022,8,1501.08,336.68,81.54,263.73,551.79,83.12,184.22
06/29/2022,9,5512.53,1247.5,265.41,1721.23,1493.17,338.64,446.58
06/29/2022,10,7607.54,1672.57,310.78,2819.89,1789.3,448.42,566.58
06/29/2022,11,8450.5,1737.05,362.35,3369.42,1905.17,475.84,600.67
06/29/2022,12,9062.91,1689.46,364.81,3823.35,2107.76,458.45,619.08
06/29/2022,13,9174.12,1704.31,363.5,3943.75,2108.74,437.54,616.28
06/29/2022,14,9006.95,1598.89,359.54,3831.7,2118.48,474.27,624.07
06/29/2022,15,8841.03,1564.31,368.29,3872.71,1942.85,482.16,610.71
06/29/2022,16,8355.61,1361.25,341.03,3838.37,1680.67,533.77,600.52
06/29/2022,17,8398.95,1482.46,362.67,3767.0,1656.02,543.78,587.02
06/29/2022,18,8195.3,1455.02,362.68,3716.35,1568.84,538.87,553.54
06/29/2022,19,6750.65,932.35,329.04,3424.52,1177.89,419.23,467.62
06/29/2022,20,3750.67,767.96,191.72,1866.65,489.26,213.61,221.47
06/29/2022,21,533.47,108.0,28.85,344.22,25.04,10.91,16.45
06/29/2022,22,0.15,0.0,0.0,0.05,0.1,0.0,0.0
06/29/2022,23,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/29/2022,24,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/30/2022,1,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/30/2022,2,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/30/2022,3,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/30/2022,4,0.11,0.0,0.0,0.01,0.1,0.0,0.0
06/30/2022,5,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/30/2022,6,0.1,0.0,0.0,0.0,0.1,0.0,0.0
06/30/2022,7,47.16,3.73,2.18,0.61,30.72,0.54,9.38
06/30/2022,8,2073.94,447.86,92.42,657.12,556.71,133.92,185.91
06/30/2022,9,6737.22,1374.04,280.49,2861.06,1379.67,399.01,442.95
06/30/2022,10,8354.66,1700.55,356.98,3843.89,1331.02,574.85,547.37
06/30/2022,11,8832.91,1773.14,372.14,4075.55,1418.81,603.1,590.17
06/30/2022,12,8827.86,1758.57,373.37,4071.54,1428.13,604.02,592.23
06/30/2022,13,8509.19,1493.5,362.92,3936.42,1542.46,606.32,567.57
06/30/2022,14,8646.5,1619.96,363.04,3711.02,1890.3,535.16,527.02
06/30/2022,15,8430.39,1572.35,366.4,3630.2,1844.66,524.28,492.5
06/30/2022,16,8155.42,1535.49,367.69,3553.22,1729.69,495.81,473.52
06/30/2022,17,8304.3,1556.33,365.0,3694.94,1707.4,491.44,489.19
06/30/2022,18,7624.45,1580.35,355.84,3354.85,1428.17,443.14,462.1
06/30/2022,19,6816.31,1413.63,310.17,2950.35,1361.29,408.16,372.71
06/30/2022,20,3732.41,837.78,178.09,1833.7,523.09,187.83,171.92
06/30/2022,21,558.4,115.05,26.15,370.56,25.04,9.04,12.56
06/30/2022,22,29.63,0.0,0.0,29.6,0.03,0.0,0.0
06/30/2022,23,13.63,0.0,0.0,13.55,0.08,0.0,0.0
06/30/2022,24,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,1,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,2,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,3,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,4,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,5,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,6,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,7,47.29,3.46,1.92,0.62,32.63,0.23,8.43
07/01/2022,8,2120.53,429.85,85.18,642.85,649.36,119.76,193.53
07/01/2022,9,6115.46,1285.74,269.26,2635.0,1054.47,428.94,442.05
07/01/2022,10,7698.23,1685.43,350.34,3580.85,1024.55,558.88,498.18
07/01/2022,11,8290.89,1764.56,353.26,3876.95,1123.53,582.1,590.49
07/01/2022,12,8504.32,1747.39,368.97,4029.77,1144.4,624.75,589.04
07/01/2022,13,8300.36,1657.55,368.16,3888.09,1210.83,618.45,557.28
07/01/2022,14,8148.22,1452.47,358.17,3699.3,1484.09,603.88,550.31
07/01/2022,15,8251.82,1399.98,356.75,3610.13,1762.08,575.08,547.8
07/01/2022,16,8239.15,1476.11,323.91,3636.93,1674.84,583.32,544.04
07/01/2022,17,7982.19,1508.33,352.25,3549.57,1576.36,481.15,514.53
07/01/2022,18,7420.13,1399.37,346.52,3321.93,1411.39,420.59,520.33
07/01/2022,19,6855.63,1410.98,303.13,3291.76,1081.93,382.32,385.51
07/01/2022,20,4096.16,905.86,168.39,2162.14,506.03,149.92,203.82
07/01/2022,21,584.47,117.83,23.41,388.82,30.42,7.47,16.52
07/01/2022,22,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,23,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/01/2022,24,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/02/2022,1,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/02/2022,2,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/02/2022,3,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/02/2022,4,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/02/2022,5,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/02/2022,6,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/02/2022,7,50.04,2.5,2.37,0.94,35.8,0.28,8.15
07/02/2022,8,2180.8,386.94,83.23,687.03,746.26,107.84,169.5
07/02/2022,9,6893.1,1317.98,246.01,2851.67,1729.1,322.46,425.88
07/02/2022,10,8594.97,1676.12,339.86,3589.14,1973.99,476.76,539.1
07/02/2022,11,9269.99,1764.9,362.23,4059.47,1930.11,581.99,571.29
07/02/2022,12,8887.76,1770.2,364.19,4065.8,1563.66,601.64,522.27
07/02/2022,13,8597.2,1589.5,362.09,3967.32,1622.26,609.03,447.0
07/02/2022,14,8429.79,1449.46,340.99,3705.7,1875.06,594.16,464.42
07/02/2022,15,7842.49,1412.1,326.88,3526.05,1622.32,546.09,409.05
07/02/2022,16,7857.69,1348.69,345.26,3526.08,1755.0,406.21,476.45
07/02/2022,17,7383.35,1242.32,256.85,3475.25,1631.39,289.11,488.43
07/02/2022,18,7420.24,1344.82,248.02,3424.34,1592.5,307.0,503.56
07/02/2022,19,6690.1,1424.32,115.78,3172.08,1313.48,212.52,451.92
07/02/2022,20,3942.27,946.39,51.45,2216.58,449.04,94.1,184.71
07/02/2022,21,596.58,124.0,7.28,427.63,19.81,3.56,14.3
07/02/2022,22,0.26,0.0,0.0,0.21,0.05,0.0,0.0
07/02/2022,23,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/02/2022,24,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/03/2022,1,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/03/2022,2,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/03/2022,3,0.09,0.0,0.0,0.0,0.09,0.0,0.0
07/03/2022,4,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/03/2022,5,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/03/2022,6,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/03/2022,7,44.27,2.33,1.62,0.62,32.25,0.9,6.55
07/03/2022,8,1973.03,357.07,76.63,608.94,652.8,102.03,175.56
07/03/2022,9,6427.74,1266.19,240.22,2689.72,1524.48,284.31,422.82
07/03/2022,10,8230.86,1542.89,345.21,3789.65,1790.34,225.67,537.1
07/03/2022,11,8908.73,1523.68,364.33,4075.1,2030.48,324.87,590.27
07/03/2022,12,9154.72,1546.17,366.47,4108.56,2100.02,508.69,524.81
07/03/2022,13,9213.78,1625.81,362.73,4058.43,2139.76,542.49,484.56
07/03/2022,14,8684.72,1442.46,320.41,3872.79,2004.43,534.54,510.09
07/03/2022,15,8599.78,1540.62,328.33,3689.97,2127.5,527.3,386.06
07/03/2022,16,8023.88,1170.54,269.41,3638.12,2036.42,513.5,395.89
07/03/2022,17,7594.57,1139.02,122.19,3612.81,2069.02,371.44,280.09
07/03/2022,18,6917.01,1058.44,223.56,3286.28,1698.89,299.33,350.51
07/03/2022,19,5677.07,831.01,207.31,2879.64,1228.54,276.49,254.08
07/03/2022,20,3287.59,469.74,159.29,1937.71,508.99,110.68,101.18
07/03/2022,21,542.07,62.21,26.33,419.59,18.09,8.78,7.07
07/03/2022,22,0.11,0.0,0.0,0.01,0.1,0.0,0.0
07/03/2022,23,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/03/2022,24,0.11,0.0,0.0,0.0,0.11,0.0,0.0
07/04/2022,1,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/04/2022,2,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/04/2022,3,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/04/2022,4,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/04/2022,5,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/04/2022,6,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/04/2022,7,46.93,2.55,2.79,0.49,32.48,0.2,8.42
07/04/2022,8,2053.67,397.55,54.53,602.8,726.9,101.28,170.61
07/04/2022,9,6499.82,1295.05,164.06,2640.19,1721.92,285.77,392.83
07/04/2022,10,8526.27,1679.01,260.45,3707.04,2122.29,242.92,514.56
07/04/2022,11,9199.75,1733.88,363.56,4034.53,2183.99,351.21,532.58
07/04/2022,12,9266.28,1757.67,361.3,4072.05,2190.86,366.67,517.73
07/04/2022,13,9251.35,1763.55,329.38,4047.62,2162.07,409.24,539.49
07/04/2022,14,8951.91,1744.0,296.37,3819.41,2141.31,410.0,540.82
07/04/2022,15,8410.1,1633.34,302.87,3350.23,2183.18,420.39,520.09
07/04/2022,16,8233.88,1633.32,291.43,3216.14,2126.97,460.59,505.43
07/04/2022,17,8252.07,1658.65,296.32,3192.17,2185.95,448.39,470.59
07/04/2022,18,7757.71,1638.07,287.03,2865.28,2147.84,372.69,446.8
07/04/2022,19,5795.59,1407.45,234.35,1662.64,1805.61,300.78,384.76
07/04/2022,20,2292.34,757.54,125.62,303.03,776.89,144.31,184.95
07/04/2022,21,378.35,112.56,18.83,63.01,164.35,6.26,13.34
07/04/2022,22,2.11,0.0,0.0,0.02,2.09,0.0,0.0
07/04/2022,23,0.11,0.0,0.0,0.02,0.09,0.0,0.0
07/04/2022,24,0.12,0.0,0.0,0.02,0.1,0.0,0.0
07/05/2022,1,0.12,0.0,0.0,0.02,0.1,0.0,0.0
07/05/2022,2,0.12,0.0,0.0,0.02,0.1,0.0,0.0
07/05/2022,3,0.12,0.0,0.0,0.02,0.1,0.0,0.0
07/05/2022,4,0.12,0.0,0.0,0.02,0.1,0.0,0.0
07/05/2022,5,0.12,0.0,0.0,0.02,0.1,0.0,0.0
07/05/2022,6,0.12,0.0,0.0,0.02,0.1,0.0,0.0
07/05/2022,7,46.06,2.08,1.54,0.63,33.73,0.04,8.04
07/05/2022,8,1908.29,409.35,81.46,392.58,745.56,99.39,179.95
07/05/2022,9,5481.12,1297.15,252.07,1672.16,1531.43,317.53,410.78
07/05/2022,10,6962.79,1549.28,204.78,2348.22,2038.34,325.1,497.07
07/05/2022,11,8057.31,1768.88,362.47,2851.09,2185.7,385.62,503.55
07/05/2022,12,9008.26,1784.18,363.03,3703.55,2200.35,429.82,527.33
07/05/2022,13,8975.54,1794.53,353.69,3591.24,2168.38,505.92,561.78
07/05/2022,14,9078.18,1787.23,339.69,3613.77,2174.32,601.21,561.96
07/05/2022,15,9178.66,1722.54,313.56,3797.99,2162.38,608.88,573.31
07/05/2022,16,8564.39,1673.34,283.56,3325.22,2137.77,585.28,559.22
07/05/2022,17,8002.27,1680.74,246.11,2976.63,2143.39,416.01,539.39
07/05/2022,18,6347.72,1541.36,253.52,1570.09,2092.86,380.77,509.12
07/05/2022,19,4418.29,1138.48,243.33,484.6,1782.34,336.72,432.82
07/05/2022,20,2453.05,676.55,112.95,614.26,693.94,153.49,201.86
07/05/2022,21,250.44,55.55,6.41,140.7,26.53,6.8,14.45
07/05/2022,22,0.14,0.0,0.0,0.13,0.01,0.0,0.0
07/05/2022,23,0.01,0.0,0.0,0.0,0.01,0.0,0.0
07/05/2022,24,0.04,0.0,0.0,0.0,0.04,0.0,0.0
07/06/2022,1,0.08,0.0,0.0,0.0,0.08,0.0,0.0
07/06/2022,2,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/06/2022,3,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/06/2022,4,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/06/2022,5,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/06/2022,6,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/06/2022,7,36.33,1.69,1.53,1.86,25.92,0.41,4.92
07/06/2022,8,1891.45,388.11,78.3,486.52,693.94,113.88,130.7
07/06/2022,9,5256.37,1166.23,221.62,1621.37,1543.06,411.0,293.09
07/06/2022,10,7259.04,1525.84,302.44,2557.92,1930.76,542.84,399.24
07/06/2022,11,8693.81,1755.08,364.76,3423.64,2029.22,588.78,532.33
07/06/2022,12,8848.0,1779.49,341.68,3459.04,2125.92,601.7,540.17
07/06/2022,13,8710.95,1770.52,367.94,3512.98,1942.74,594.67,522.1
07/06/2022,14,9154.99,1766.61,363.09,3829.41,2098.19,590.84,506.85
07/06/2022,15,9139.23,1740.71,350.12,3787.84,2223.85,585.11,451.6
07/06/2022,16,8940.41,1713.54,347.19,3708.77,2207.5,564.76,398.65
07/06/2022,17,8414.75,1687.28,302.36,3478.14,2049.34,509.83,387.8
07/06/2022,18,8052.31,1547.54,293.22,3296.73,2150.99,398.27,365.56
07/06/2022,19,6870.6,1341.38,260.35,2835.72,1760.45,352.07,320.63
07/06/2022,20,3965.15,911.64,124.22,1966.99,672.09,136.4,153.81
07/06/2022,21,474.09,138.22,9.63,281.68,23.75,8.43,12.38
07/06/2022,22,0.05,0.0,0.0,0.0,0.05,0.0,0.0
07/06/2022,23,0.09,0.0,0.0,0.01,0.07,0.0,0.01
07/06/2022,24,0.11,0.0,0.0,0.0,0.1,0.0,0.01
07/07/2022,1,0.12,0.0,0.0,0.01,0.1,0.0,0.01
07/07/2022,2,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/07/2022,3,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/07/2022,4,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/07/2022,5,0.1,0.0,0.0,0.0,0.1,0.0,0.0
07/07/2022,6,0.11,0.0,0.0,0.0,0.1,0.0,0.01
07/07/2022,7,39.78,1.69,1.18,0.47,30.44,0.14,5.86
07/07/2022,8,2136.82,397.84,76.68,594.09,761.43,128.84,177.94
07/07/2022,9,6741.89,1316.9,225.25,2692.35,1667.33,439.39,400.67
07/07/2022,10,8903.87,1708.66,319.84,3861.73,1950.08,578.16,485.4
07/07/2022,11,9361.93,1775.24,357.51,4047.97,2069.19,603.2,508.82
07/07/2022,12,9380.92,1774.28,362.7,4085.13,2016.79,616.26,525.76
07/07/2022,13,9368.69,1761.39,362.23,4057.24,2063.57,607.85,516.41
07/07/2022,14,9211.52,1757.09,361.52,3884.93,2076.68,618.83,512.47
07/07/2022,15,9077.29,1732.04,356.51,3713.27,2150.13,608.22,517.12
07/07/2022,16,8819.55,1726.43,347.24,3414.74,2160.18,620.27,550.69
07/07/2022,17,8699.95,1722.6,302.68,3359.9,2213.61,575.8,525.36
