date,hour,wind_system,wind_coast,wind_south,wind_west,wind_north
01/01/2021,1,14012.32,1975.35,1246.65,7623.01,146.97
01/01/2021,2,14315.26,2023.05,980.89,7778.31,174.87
01/01/2021,3,14247.88,1819.02,742.39,8068.91,211.95
01/01/2021,4,13273.42,1426.17,750.18,7543.59,186.87
01/01/2021,5,12248.01,1280.43,825.16,6667.16,169.53
01/01/2021,6,11364.07,1164.67,860.99,5928.93,148.03
01/01/2021,7,10726.86,852.88,909.99,5537.93,144.78
01/01/2021,8,10329.67,664.86,627.44,5611.12,181.14
01/01/2021,9,9889.97,423.11,530.55,5669.75,191.92
01/01/2021,10,9905.33,334.21,522.23,6186.14,223.39
01/01/2021,11,11025.64,533.67,879.83,6427.94,425.54
01/01/2021,12,11060.93,470.62,1180.84,6177.56,567.36
01/01/2021,13,9929.01,422.5,1002.21,5342.06,649.65
01/01/2021,14,8832.31,219.18,827.34,4695.39,709.3
01/01/2021,15,7334.1,111.14,755.64,4062.09,658.99
01/01/2021,16,5825.6,148.15,672.91,3114.08,557.08
01/01/2021,17,4311.52,144.05,534.01,2155.53,466.18
01/01/2021,18,3341.69,155.63,542.87,1558.88,385.76
01/01/2021,19,3505.13,172.34,806.52,1528.22,390.85
01/01/2021,20,3566.04,190.11,845.41,1677.31,483.51
01/01/2021,21,3775.03,220.94,834.8,1766.78,633.91
01/01/2021,22,3561.11,266.78,798.53,1753.44,463.38
01/01/2021,23,4098.48,574.51,828.91,1959.84,483.72
01/01/2021,24,4588.3,606.51,1010.03,2036.91,562.23
01/02/2021,1,4062.44,706.68,1016.95,1484.23,369.28
01/02/2021,2,3062.47,570.08,788.39,1079.57,211.2
01/02/2021,3,2703.25,566.21,706.97,950.05,57.58
01/02/2021,4,3133.27,578.78,716.23,1399.31,36.28
01/02/2021,5,3340.91,732.68,594.53,1592.17,53.95
01/02/2021,6,2986.67,469.21,532.57,1456.49,132.65
01/02/2021,7,3050.72,446.26,480.61,1522.31,251.35
01/02/2021,8,3595.39,508.56,560.73,1848.99,334.84
01/02/2021,9,4385.86,494.24,394.13,2650.52,378.58
01/02/2021,10,4178.53,385.8,136.01,2922.48,215.21
01/02/2021,11,4447.58,482.34,147.03,2936.06,115.7
