Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1599828,-,-,-,28,-97.01,0,0,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2021,1,1,0,30,0,0,0,100.26,70.03
2021,1,1,1,30,0,0,0,112.87,73.38
2021,1,1,2,30,0,0,0,125.81,77.34
2021,1,1,3,30,0,0,0,138.96,79.92
2021,1,1,4,30,0,0,0,152.19,81.26
2021,1,1,5,30,0,0,0,165.24,82.38
2021,1,1,6,30,0,0,0,174.96,82.43
2021,1,1,7,30,0,0,0,165.91,82.76
2021,1,1,8,30,0,0,0,152.89000000000001,83.39
2021,1,1,9,30,0,0,0,139.66,84.27
2021,1,1,10,30,0,0,0,126.5,84.08
2021,1,1,11,30,0,0,0,113.54,83.21000000000001
2021,1,1,12,30,0,0,0,100.91,82.32000000000001
2021,1,1,13,30,10,0,10,88.43,79.05
2021,1,1,14,30,197,695,44,77.33,72.22
2021,1,1,15,30,265,213,182,67.17,65.24
2021,1,1,16,30,383,301,227,58.78,60.89
2021,1,1,17,30,495,411,248,53.050000000000004,57.34
2021,1,1,18,30,685,965,77,50.92,54.71
2021,1,1,19,30,474,350,263,52.81,52.18
2021,1,1,20,30,322,126,255,58.33,50.160000000000004
2021,1,1,21,30,164,20,155,66.58,49.31
2021,1,1,22,30,122,34,114,76.66,52.230000000000004
2021,1,1,23,30,15,1,15,87.75,59.7
2021,1,2,0,30,0,0,0,100.13,62.06
2021,1,2,1,30,0,0,0,112.74000000000001,66.82000000000001
2021,1,2,2,30,0,0,0,125.68,71.22
2021,1,2,3,30,0,0,0,138.83,75.36
2021,1,2,4,30,0,0,0,152.06,78.76
2021,1,2,5,30,0,0,0,165.11,81.48
2021,1,2,6,30,0,0,0,174.87,83.52
2021,1,2,7,30,0,0,0,165.97,83.83
2021,1,2,8,30,0,0,0,152.97,84.01
2021,1,2,9,30,0,0,0,139.74,84.53
2021,1,2,10,30,0,0,0,126.57000000000001,85.53
2021,1,2,11,30,0,0,0,113.61,86.02
2021,1,2,12,30,0,0,0,100.97,85.87
2021,1,2,13,30,9,0,9,88.47,83.52
2021,1,2,14,30,189,622,53,77.36,77.28
2021,1,2,15,30,386,824,66,67.17,70.34
2021,1,2,16,30,548,917,72,58.76,63.61
2021,1,2,17,30,655,962,76,53,58.51
2021,1,2,18,30,693,980,74,50.83,53.660000000000004
2021,1,2,19,30,661,970,73,52.69,49.57
2021,1,2,20,30,563,938,68,58.19,46.96
2021,1,2,21,30,407,861,63,66.44,46.18
2021,1,2,22,30,213,707,48,76.52,49.69
2021,1,2,23,30,16,0,16,87.62,53.18
2021,1,3,0,30,0,0,0,99.99000000000001,49.82
2021,1,3,1,30,0,0,0,112.60000000000001,48.660000000000004
2021,1,3,2,30,0,0,0,125.55,50.31
2021,1,3,3,30,0,0,0,138.70000000000002,53.89
2021,1,3,4,30,0,0,0,151.93,55.71
2021,1,3,5,30,0,0,0,164.97,57.550000000000004
2021,1,3,6,30,0,0,0,174.76,59.160000000000004
2021,1,3,7,30,0,0,0,166.03,60.69
2021,1,3,8,30,0,0,0,153.04,61.940000000000005
2021,1,3,9,30,0,0,0,139.81,64.04
2021,1,3,10,30,0,0,0,126.64,67.24
2021,1,3,11,30,0,0,0,113.67,71.24
2021,1,3,12,30,0,0,0,101.02,75.06
2021,1,3,13,30,9,0,9,88.51,74.15
2021,1,3,14,30,196,681,47,77.38,71.66
2021,1,3,15,30,391,845,63,67.17,66.69
2021,1,3,16,30,547,918,71,58.730000000000004,62.79
2021,1,3,17,30,648,949,76,52.94,60
2021,1,3,18,30,682,949,81,50.730000000000004,59.28
2021,1,3,19,30,650,936,81,52.56,59.47
2021,1,3,20,30,550,893,77,58.06,60.35
2021,1,3,21,30,395,806,71,66.29,62.45
2021,1,3,22,30,205,635,55,76.37,69.84
2021,1,3,23,30,27,207,18,87.49,77.75
2021,1,4,0,30,0,0,0,99.85000000000001,80.91
2021,1,4,1,30,0,0,0,112.47,83.09
2021,1,4,2,30,0,0,0,125.42,85.41
2021,1,4,3,30,0,0,0,138.57,88.15
2021,1,4,4,30,0,0,0,151.8,90.97
2021,1,4,5,30,0,0,0,164.83,94.27
2021,1,4,6,30,0,0,0,174.65,96.93
2021,1,4,7,30,0,0,0,166.08,99.68
2021,1,4,8,30,0,0,0,153.11,100
2021,1,4,9,30,0,0,0,139.88,100
2021,1,4,10,30,0,0,0,126.71000000000001,100
2021,1,4,11,30,0,0,0,113.73,100
2021,1,4,12,30,0,0,0,101.07000000000001,100
2021,1,4,13,30,16,111,13,88.55,100
2021,1,4,14,30,182,579,56,77.4,91.77
2021,1,4,15,30,373,767,76,67.17,85.15
2021,1,4,16,30,529,853,86,58.69,81.41
2021,1,4,17,30,630,896,89,52.870000000000005,77.92
2021,1,4,18,30,672,934,79,50.620000000000005,75.02
2021,1,4,19,30,639,920,78,52.43,73.3
2021,1,4,20,30,543,881,74,57.910000000000004,73.73
2021,1,4,21,30,392,806,66,66.14,76.29
2021,1,4,22,30,204,642,51,76.22,85.77
2021,1,4,23,30,28,224,18,87.35000000000001,95.39
2021,1,5,0,30,0,0,0,99.71000000000001,100
2021,1,5,1,30,0,0,0,112.33,100
2021,1,5,2,30,0,0,0,125.28,100
2021,1,5,3,30,0,0,0,138.44,100
2021,1,5,4,30,0,0,0,151.67000000000002,100
2021,1,5,5,30,0,0,0,164.69,100
2021,1,5,6,30,0,0,0,174.52,100
2021,1,5,7,30,0,0,0,166.13,100
2021,1,5,8,30,0,0,0,153.17000000000002,100
2021,1,5,9,30,0,0,0,139.94,100
2021,1,5,10,30,0,0,0,126.77,100
2021,1,5,11,30,0,0,0,113.78,100
2021,1,5,12,30,0,0,0,101.11,100
2021,1,5,13,30,16,133,12,88.57000000000001,97.92
2021,1,5,14,30,181,593,51,77.41,92.65
2021,1,5,15,30,46,0,46,67.16,89.23
2021,1,5,16,30,213,7,209,58.65,85.35000000000001
2021,1,5,17,30,117,0,117,52.79,82.91
2021,1,5,18,30,416,109,347,50.51,82.54
2021,1,5,19,30,437,163,337,52.29,82.95
2021,1,5,20,30,530,833,85,57.76,84.68
2021,1,5,21,30,180,14,174,65.99,87.26
2021,1,5,22,30,201,608,54,76.07000000000001,91.24
2021,1,5,23,30,28,209,18,87.22,95.42
2021,1,6,0,30,0,0,0,99.57000000000001,97.41
2021,1,6,1,30,0,0,0,112.19,98.01
2021,1,6,2,30,0,0,0,125.15,97.93
2021,1,6,3,30,0,0,0,138.31,98.07000000000001
2021,1,6,4,30,0,0,0,151.54,98.87
2021,1,6,5,30,0,0,0,164.55,99.52
2021,1,6,6,30,0,0,0,174.39000000000001,100
2021,1,6,7,30,0,0,0,166.17000000000002,100
2021,1,6,8,30,0,0,0,153.23,100
2021,1,6,9,30,0,0,0,140.01,100
2021,1,6,10,30,0,0,0,126.83,99.55
2021,1,6,11,30,0,0,0,113.83,99.15
2021,1,6,12,30,0,0,0,101.15,97.02
2021,1,6,13,30,5,0,5,88.60000000000001,93.45
2021,1,6,14,30,99,19,95,77.42,90.27
2021,1,6,15,30,129,11,124,67.14,88.76
2021,1,6,16,30,335,165,249,58.6,87.75
2021,1,6,17,30,239,27,222,52.7,87.18
2021,1,6,18,30,229,20,216,50.39,88.2
2021,1,6,19,30,291,52,259,52.15,90.9
2021,1,6,20,30,334,153,253,57.6,93.49
2021,1,6,21,30,298,253,194,65.83,93.83
2021,1,6,22,30,183,402,85,75.92,92.52
2021,1,6,23,30,28,114,22,87.07000000000001,87.78
2021,1,7,0,30,0,0,0,99.42,73.91
2021,1,7,1,30,0,0,0,112.05,65.08
2021,1,7,2,30,0,0,0,125.01,67.72
2021,1,7,3,30,0,0,0,138.17000000000002,69.63
2021,1,7,4,30,0,0,0,151.4,70.67
2021,1,7,5,30,0,0,0,164.41,72.38
2021,1,7,6,30,0,0,0,174.25,74.77
2021,1,7,7,30,0,0,0,166.20000000000002,76.25
2021,1,7,8,30,0,0,0,153.29,77.25
2021,1,7,9,30,0,0,0,140.06,78.18
2021,1,7,10,30,0,0,0,126.88000000000001,79.10000000000001
2021,1,7,11,30,0,0,0,113.88,80.81
2021,1,7,12,30,0,0,0,101.18,81.89
2021,1,7,13,30,19,263,12,88.61,78.68
2021,1,7,14,30,199,721,42,77.42,69.33
2021,1,7,15,30,401,884,57,67.11,59.32
2021,1,7,16,30,564,958,64,58.550000000000004,52.7
2021,1,7,17,30,671,993,68,52.61,47.99
2021,1,7,18,30,707,990,74,50.26,44.01
2021,1,7,19,30,677,980,73,52,41.15
2021,1,7,20,30,580,948,69,57.44,39.59
2021,1,7,21,30,424,875,64,65.67,39.800000000000004
2021,1,7,22,30,229,727,50,75.76,44.06
2021,1,7,23,30,37,331,19,86.92,53.5
2021,1,8,0,30,0,0,0,99.28,58.11
2021,1,8,1,30,0,0,0,111.91,61.93
2021,1,8,2,30,0,0,0,124.88000000000001,65.88
2021,1,8,3,30,0,0,0,138.04,70.05
2021,1,8,4,30,0,0,0,151.27,72.65
2021,1,8,5,30,0,0,0,164.26,77.19
2021,1,8,6,30,0,0,0,174.1,80.64
2021,1,8,7,30,0,0,0,166.22,83.47
2021,1,8,8,30,0,0,0,153.34,85.21000000000001
2021,1,8,9,30,0,0,0,140.12,86.26
2021,1,8,10,30,0,0,0,126.93,86.94
2021,1,8,11,30,0,0,0,113.92,87.9
2021,1,8,12,30,0,0,0,101.21000000000001,88.19
2021,1,8,13,30,8,0,8,88.62,86.05
2021,1,8,14,30,190,634,52,77.41,82.01
2021,1,8,15,30,386,811,70,67.08,76.08
2021,1,8,16,30,545,890,79,58.480000000000004,70.93
2021,1,8,17,30,651,930,85,52.51,66.84
2021,1,8,18,30,692,947,85,50.13,63.08
2021,1,8,19,30,663,936,84,51.84,60.49
2021,1,8,20,30,567,901,80,57.27,58.980000000000004
2021,1,8,21,30,414,823,73,65.5,58.6
2021,1,8,22,30,222,666,56,75.60000000000001,61.7
2021,1,8,23,30,24,1,24,86.77,69.34
2021,1,9,0,30,0,0,0,99.13,72.96000000000001
2021,1,9,1,30,0,0,0,111.77,75.41
2021,1,9,2,30,0,0,0,124.74000000000001,77.95
2021,1,9,3,30,0,0,0,137.9,79.82000000000001
2021,1,9,4,30,0,0,0,151.13,81.71000000000001
2021,1,9,5,30,0,0,0,164.12,83.2
2021,1,9,6,30,0,0,0,173.95000000000002,84.25
2021,1,9,7,30,0,0,0,166.24,85.18
2021,1,9,8,30,0,0,0,153.39000000000001,86.41
2021,1,9,9,30,0,0,0,140.17000000000002,87.55
2021,1,9,10,30,0,0,0,126.97,87.68
2021,1,9,11,30,0,0,0,113.95,88.54
2021,1,9,12,30,0,0,0,101.24000000000001,88.58
2021,1,9,13,30,8,0,8,88.63,86.35000000000001
2021,1,9,14,30,184,581,57,77.4,81.14
2021,1,9,15,30,376,757,81,67.05,76.85000000000001
2021,1,9,16,30,532,832,97,58.410000000000004,72.67
2021,1,9,17,30,633,862,108,52.4,69.93
2021,1,9,18,30,470,163,365,49.99,68.36
2021,1,9,19,30,95,0,95,51.67,67.78
2021,1,9,20,30,82,1,82,57.1,68.28
2021,1,9,21,30,49,0,49,65.33,69.72
2021,1,9,22,30,37,0,37,75.43,73.12
2021,1,9,23,30,15,0,15,86.62,77.24
2021,1,10,0,30,0,0,0,98.98,78.55
2021,1,10,1,30,0,0,0,111.62,78.87
2021,1,10,2,30,0,0,0,124.60000000000001,80.49
2021,1,10,3,30,0,0,0,137.77,81.86
2021,1,10,4,30,0,0,0,151,83.28
2021,1,10,5,30,0,0,0,163.97,84.14
2021,1,10,6,30,0,0,0,173.78,84.12
2021,1,10,7,30,0,0,0,166.26,83.72
2021,1,10,8,30,0,0,0,153.43,84.36
