Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1356780,-,-,-,28,-100.01,0,166,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2021,1,1,0,30,0,0,0,97.8,75.78
2021,1,1,1,30,0,0,0,110.32000000000001,81.29
2021,1,1,2,30,0,0,0,123.2,84.2
2021,1,1,3,30,0,0,0,136.32,86
2021,1,1,4,30,0,0,0,149.54,85.09
2021,1,1,5,30,0,0,0,162.67000000000002,84.78
2021,1,1,6,30,0,0,0,174.11,85.60000000000001
2021,1,1,7,30,0,0,0,168.4,85.26
2021,1,1,8,30,0,0,0,155.53,82.47
2021,1,1,9,30,0,0,0,142.3,79.38
2021,1,1,10,30,0,0,0,129.12,77.52
2021,1,1,11,30,0,0,0,116.11,75.97
2021,1,1,12,30,0,0,0,103.4,73.53
2021,1,1,13,30,0,0,0,91.15,65.87
2021,1,1,14,30,159,664,38,79.51,54.33
2021,1,1,15,30,357,851,54,69.08,46.72
2021,1,1,16,30,525,935,62,60.27,40.550000000000004
2021,1,1,17,30,641,975,67,53.94,36.300000000000004
2021,1,1,18,30,691,978,76,51.02,33.22
2021,1,1,19,30,672,972,75,52.11,31
2021,1,1,20,30,586,944,72,56.97,30.34
2021,1,1,21,30,438,866,69,64.76,31.580000000000002
2021,1,1,22,30,249,728,55,74.53,36.34
2021,1,1,23,30,55,373,26,85.52,47.6
2021,1,2,0,30,0,0,0,97.66,56.82
2021,1,2,1,30,0,0,0,110.18,61.25
2021,1,2,2,30,0,0,0,123.07000000000001,67.08
2021,1,2,3,30,0,0,0,136.19,71.61
2021,1,2,4,30,0,0,0,149.41,75.5
2021,1,2,5,30,0,0,0,162.54,79.21000000000001
2021,1,2,6,30,0,0,0,173.98,82.11
2021,1,2,7,30,0,0,0,168.45000000000002,83.10000000000001
2021,1,2,8,30,0,0,0,155.61,81.43
2021,1,2,9,30,0,0,0,142.38,79.43
2021,1,2,10,30,0,0,0,129.19,79.5
2021,1,2,11,30,0,0,0,116.18,78.39
2021,1,2,12,30,0,0,0,103.46000000000001,76.10000000000001
2021,1,2,13,30,0,0,0,91.2,66.55
2021,1,2,14,30,160,657,41,79.55,51.43
2021,1,2,15,30,363,854,58,69.09,41.1
2021,1,2,16,30,538,949,67,60.26,32.62
2021,1,2,17,30,656,990,73,53.89,25.44
2021,1,2,18,30,708,1006,75,50.94,22.3
2021,1,2,19,30,685,993,74,52,21.19
2021,1,2,20,30,598,966,70,56.84,21.14
2021,1,2,21,30,451,903,64,64.62,22.59
2021,1,2,22,30,260,774,52,74.39,31.220000000000002
2021,1,2,23,30,61,442,25,85.39,57.76
2021,1,3,0,30,0,0,0,97.52,53.82
2021,1,3,1,30,0,0,0,110.05,51.38
2021,1,3,2,30,0,0,0,122.94,48.03
2021,1,3,3,30,0,0,0,136.06,44.4
2021,1,3,4,30,0,0,0,149.29,44.65
2021,1,3,5,30,0,0,0,162.41,50.53
2021,1,3,6,30,0,0,0,173.85,59.230000000000004
2021,1,3,7,30,0,0,0,168.5,66.58
2021,1,3,8,30,0,0,0,155.68,69.37
2021,1,3,9,30,0,0,0,142.46,70.72
2021,1,3,10,30,0,0,0,129.26,71.49
2021,1,3,11,30,0,0,0,116.24000000000001,72.55
2021,1,3,12,30,0,0,0,103.52,73.55
2021,1,3,13,30,0,0,0,91.24,66.84
2021,1,3,14,30,159,654,41,79.57000000000001,58.51
2021,1,3,15,30,361,850,58,69.10000000000001,45.45
2021,1,3,16,30,531,935,67,60.24,37.74
2021,1,3,17,30,649,977,72,53.83,30.8
2021,1,3,18,30,700,984,79,50.85,25.96
2021,1,3,19,30,682,980,78,51.88,24.05
2021,1,3,20,30,596,953,73,56.7,23.3
2021,1,3,21,30,448,876,70,64.47,24.27
2021,1,3,22,30,257,742,56,74.25,39.730000000000004
2021,1,3,23,30,60,400,27,85.25,49.800000000000004
2021,1,4,0,30,0,0,0,97.38,44.18
2021,1,4,1,30,0,0,0,109.91,45.69
2021,1,4,2,30,0,0,0,122.81,46.28
2021,1,4,3,30,0,0,0,135.93,47.2
2021,1,4,4,30,0,0,0,149.16,51.07
2021,1,4,5,30,0,0,0,162.27,57.550000000000004
2021,1,4,6,30,0,0,0,173.70000000000002,64.72
2021,1,4,7,30,0,0,0,168.54,70.53
2021,1,4,8,30,0,0,0,155.74,77.68
2021,1,4,9,30,0,0,0,142.53,81.86
2021,1,4,10,30,0,0,0,129.33,83.03
2021,1,4,11,30,0,0,0,116.3,81.16
2021,1,4,12,30,0,0,0,103.57000000000001,77.82000000000001
2021,1,4,13,30,0,0,0,91.28,67.75
2021,1,4,14,30,155,623,42,79.60000000000001,54.45
2021,1,4,15,30,353,820,61,69.10000000000001,44.36
2021,1,4,16,30,520,906,70,60.21,36.59
2021,1,4,17,30,637,951,75,53.77,30.96
2021,1,4,18,30,689,968,77,50.75,26.87
2021,1,4,19,30,672,964,75,51.75,22.64
2021,1,4,20,30,588,939,71,56.56,20.64
2021,1,4,21,30,444,879,63,64.32000000000001,21.7
2021,1,4,22,30,257,752,51,74.10000000000001,38.21
2021,1,4,23,30,62,428,25,85.11,57.86
2021,1,5,0,30,0,0,0,97.24000000000001,57.74
2021,1,5,1,30,0,0,0,109.77,60.13
2021,1,5,2,30,0,0,0,122.67,63.22
2021,1,5,3,30,0,0,0,135.8,67.57000000000001
2021,1,5,4,30,0,0,0,149.02,71.92
2021,1,5,5,30,0,0,0,162.14000000000001,76.44
2021,1,5,6,30,0,0,0,173.55,80.24
2021,1,5,7,30,0,0,0,168.57,82.88
2021,1,5,8,30,0,0,0,155.81,85.82000000000001
2021,1,5,9,30,0,0,0,142.59,88.97
2021,1,5,10,30,0,0,0,129.39000000000001,91.01
2021,1,5,11,30,0,0,0,116.36,93.78
2021,1,5,12,30,0,0,0,103.61,94.89
2021,1,5,13,30,0,0,0,91.31,87.82000000000001
2021,1,5,14,30,150,583,44,79.61,74.56
2021,1,5,15,30,345,786,65,69.09,61.97
2021,1,5,16,30,512,874,77,60.17,54.75
2021,1,5,17,30,627,918,84,53.7,51.01
2021,1,5,18,30,671,903,98,50.64,48.160000000000004
2021,1,5,19,30,655,900,97,51.620000000000005,42.35
2021,1,5,20,30,573,869,92,56.410000000000004,35.86
2021,1,5,21,30,431,802,81,64.17,35.38
2021,1,5,22,30,205,289,125,73.95,49.84
2021,1,5,23,30,43,8,42,84.96000000000001,67
2021,1,6,0,30,0,0,0,97.10000000000001,66.33
2021,1,6,1,30,0,0,0,109.63,69.79
2021,1,6,2,30,0,0,0,122.54,73.75
2021,1,6,3,30,0,0,0,135.66,78.93
2021,1,6,4,30,0,0,0,148.89000000000001,84.61
2021,1,6,5,30,0,0,0,162,91.39
2021,1,6,6,30,0,0,0,173.4,100
2021,1,6,7,30,0,0,0,168.6,100
2021,1,6,8,30,0,0,0,155.87,100
2021,1,6,9,30,0,0,0,142.65,100
2021,1,6,10,30,0,0,0,129.45,100
2021,1,6,11,30,0,0,0,116.41,100
2021,1,6,12,30,0,0,0,103.65,100
2021,1,6,13,30,0,0,0,91.34,100
2021,1,6,14,30,141,502,50,79.62,90.47
2021,1,6,15,30,331,713,76,69.08,79.43
2021,1,6,16,30,496,813,91,60.13,71.84
2021,1,6,17,30,617,881,95,53.620000000000005,58.21
2021,1,6,18,30,682,934,88,50.53,41.660000000000004
2021,1,6,19,30,675,952,82,51.480000000000004,32.71
2021,1,6,20,30,598,944,74,56.26,30.82
2021,1,6,21,30,457,893,65,64.01,31.830000000000002
2021,1,6,22,30,267,770,52,73.79,35.480000000000004
2021,1,6,23,30,69,464,27,84.81,42.59
2021,1,7,0,30,0,0,0,96.95,50.82
2021,1,7,1,30,0,0,0,109.49000000000001,55.22
2021,1,7,2,30,0,0,0,122.4,56.93
