Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1196642,-,-,-,35,-102.01,0,1127,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2021,1,1,0,30,0,0,0,98.83,39.54
2021,1,1,1,30,0,0,0,110.5,41.050000000000004
2021,1,1,2,30,0,0,0,122.56,46.19
2021,1,1,3,30,0,0,0,134.82,52.54
2021,1,1,4,30,0,0,0,147.01,54.57
2021,1,1,5,30,0,0,0,158.56,53.76
2021,1,1,6,30,0,0,0,167.09,52.75
2021,1,1,7,30,0,0,0,165.35,52.300000000000004
2021,1,1,8,30,0,0,0,155.46,53.69
2021,1,1,9,30,0,0,0,143.62,56.32
2021,1,1,10,30,0,0,0,131.37,57.45
2021,1,1,11,30,0,0,0,119.14,57.83
2021,1,1,12,30,0,0,0,107.16,57.88
2021,1,1,13,30,0,0,0,95.65,57.78
2021,1,1,14,30,74,508,27,84.7,54.660000000000004
2021,1,1,15,30,168,42,157,75.07000000000001,47.72
2021,1,1,16,30,275,166,210,66.95,37.94
2021,1,1,17,30,529,962,63,61.07,30.26
2021,1,1,18,30,585,982,66,58.14,25.240000000000002
2021,1,1,19,30,572,971,66,58.61,22.68
2021,1,1,20,30,499,943,62,62.4,21.55
2021,1,1,21,30,326,459,161,68.95,22.330000000000002
2021,1,1,22,30,31,0,31,77.55,27.37
2021,1,1,23,30,21,2,21,87.43,41.88
2021,1,2,0,30,0,0,0,98.7,44.99
2021,1,2,1,30,0,0,0,110.36,45.81
2021,1,2,2,30,0,0,0,122.43,45.97
2021,1,2,3,30,0,0,0,134.68,45.52
2021,1,2,4,30,0,0,0,146.87,46.76
2021,1,2,5,30,0,0,0,158.42000000000002,48.39
2021,1,2,6,30,0,0,0,166.97,49.84
2021,1,2,7,30,0,0,0,165.34,51.09
2021,1,2,8,30,0,0,0,155.49,51.730000000000004
2021,1,2,9,30,0,0,0,143.67000000000002,53.2
2021,1,2,10,30,0,0,0,131.42000000000002,54.800000000000004
2021,1,2,11,30,0,0,0,119.19,56.43
2021,1,2,12,30,0,0,0,107.21000000000001,57.68
2021,1,2,13,30,0,0,0,95.68,52.7
2021,1,2,14,30,71,495,26,84.72,41.86
2021,1,2,15,30,247,778,47,75.07000000000001,30.37
2021,1,2,16,30,407,894,57,66.93,24.150000000000002
2021,1,2,17,30,525,957,62,61.02,23.39
2021,1,2,18,30,581,987,59,58.06,23.21
2021,1,2,19,30,577,996,57,58.5,21.490000000000002
2021,1,2,20,30,510,981,53,62.27,20.06
2021,1,2,21,30,381,923,47,68.82000000000001,20.41
2021,1,2,22,30,210,792,37,77.41,27.2
2021,1,2,23,30,36,418,16,87.3,39.35
2021,1,3,0,30,0,0,0,98.55,41.29
2021,1,3,1,30,0,0,0,110.22,41.92
2021,1,3,2,30,0,0,0,122.29,42.71
2021,1,3,3,30,0,0,0,134.54,43.44
2021,1,3,4,30,0,0,0,146.73,44.92
2021,1,3,5,30,0,0,0,158.28,46.32
2021,1,3,6,30,0,0,0,166.84,48.14
2021,1,3,7,30,0,0,0,165.31,49.660000000000004
2021,1,3,8,30,0,0,0,155.52,51.230000000000004
2021,1,3,9,30,0,0,0,143.72,54.29
2021,1,3,10,30,0,0,0,131.47,57.47
2021,1,3,11,30,0,0,0,119.24000000000001,60.59
2021,1,3,12,30,0,0,0,107.25,63.14
