Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1196792,-,-,-,32,-102.01,0,836,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2021,1,1,0,30,0,0,0,97.7,74
2021,1,1,1,30,0,0,0,109.73,75.08
2021,1,1,2,30,0,0,0,122.16,74.29
2021,1,1,3,30,0,0,0,134.81,71.85000000000001
2021,1,1,4,30,0,0,0,147.5,71.36
2021,1,1,5,30,0,0,0,159.83,72.08
2021,1,1,6,30,0,0,0,169.79,72.01
2021,1,1,7,30,0,0,0,167.61,70.10000000000001
2021,1,1,8,30,0,0,0,156.46,67.66
2021,1,1,9,30,0,0,0,143.95000000000002,66.32000000000001
2021,1,1,10,30,0,0,0,131.25,65.29
2021,1,1,11,30,0,0,0,118.64,64.72
2021,1,1,12,30,0,0,0,106.3,64.06
2021,1,1,13,30,0,0,0,94.41,58
2021,1,1,14,30,62,2,61,83.11,50.61
2021,1,1,15,30,208,49,194,73.05,46.67
2021,1,1,16,30,357,120,305,64.52,37.300000000000004
2021,1,1,17,30,428,82,384,58.29,29.28
2021,1,1,18,30,482,101,425,55.160000000000004,24.37
2021,1,1,19,30,315,3,314,55.660000000000004,21.92
2021,1,1,20,30,344,79,305,59.7,21.29
2021,1,1,21,30,87,1,87,66.63,22.53
2021,1,1,22,30,53,0,53,75.64,32.99
2021,1,1,23,30,15,0,15,85.98,51.26
2021,1,2,0,30,0,0,0,97.56,47.19
2021,1,2,1,30,0,0,0,109.59,47.78
2021,1,2,2,30,0,0,0,122.02,48.08
2021,1,2,3,30,0,0,0,134.68,47.84
2021,1,2,4,30,0,0,0,147.37,48.5
2021,1,2,5,30,0,0,0,159.70000000000002,49.57
