Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1356630,-,-,-,31,-100.01,0,668,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2021,1,1,0,30,0,0,0,98.91,94.19
2021,1,1,1,30,0,0,0,111.11,94.5
2021,1,1,2,30,0,0,0,123.69,94.27
2021,1,1,3,30,0,0,0,136.49,94.67
2021,1,1,4,30,0,0,0,149.31,93.87
2021,1,1,5,30,0,0,0,161.79,92.92
2021,1,1,6,30,0,0,0,171.43,91.11
2021,1,1,7,30,0,0,0,166.93,89.8
2021,1,1,8,30,0,0,0,155.06,89.02
2021,1,1,9,30,0,0,0,142.31,89.02
2021,1,1,10,30,0,0,0,129.47,89.49
2021,1,1,11,30,0,0,0,116.77,89.9
2021,1,1,12,30,0,0,0,104.37,89.73
2021,1,1,13,30,0,0,0,92.44,85.44
2021,1,1,14,30,133,641,34,81.15,81.22
2021,1,1,15,30,326,845,52,71.12,82.14
2021,1,1,16,30,491,933,64,62.72,85.38
2021,1,1,17,30,608,979,71,56.74,82.26
2021,1,1,18,30,660,978,85,54.02,78.46000000000001
2021,1,1,19,30,641,974,83,55.03,74.63
2021,1,1,20,30,556,948,76,59.6,71.45
2021,1,1,21,30,410,873,69,66.98,70.02
2021,1,1,22,30,224,730,51,76.35000000000001,78.18
2021,1,1,23,30,38,344,20,86.92,85.4
2021,1,2,0,30,0,0,0,98.77,77.83
2021,1,2,1,30,0,0,0,110.98,77.29
2021,1,2,2,30,0,0,0,123.56,77.75
2021,1,2,3,30,0,0,0,136.35,78.78
2021,1,2,4,30,0,0,0,149.18,80.28
2021,1,2,5,30,0,0,0,161.65,80.86
2021,1,2,6,30,0,0,0,171.31,81.7
2021,1,2,7,30,0,0,0,166.96,83.43
2021,1,2,8,30,0,0,0,155.12,84.58
2021,1,2,9,30,0,0,0,142.37,84.89
2021,1,2,10,30,0,0,0,129.53,84.38
2021,1,2,11,30,0,0,0,116.83,83.52
2021,1,2,12,30,0,0,0,104.42,81.91
2021,1,2,13,30,0,0,0,92.48,72.69
2021,1,2,14,30,130,622,35,81.18,62.160000000000004
2021,1,2,15,30,321,837,50,71.13,65.27
2021,1,2,16,30,486,936,57,62.7,64.27
2021,1,2,17,30,599,981,60,56.69,61.77
2021,1,2,18,30,653,1003,62,53.93,51.95
2021,1,2,19,30,635,998,62,54.92,48.99
2021,1,2,20,30,556,980,58,59.47,48.94
2021,1,2,21,30,414,916,54,66.84,51.93
2021,1,2,22,30,229,781,43,76.21000000000001,67.8
2021,1,2,23,30,42,413,19,86.79,84.14
2021,1,3,0,30,0,0,0,98.63,81.37
2021,1,3,1,30,0,0,0,110.84,76.08
2021,1,3,2,30,0,0,0,123.43,70.99
2021,1,3,3,30,0,0,0,136.22,68.28
2021,1,3,4,30,0,0,0,149.05,70.15
2021,1,3,5,30,0,0,0,161.51,73.04
2021,1,3,6,30,0,0,0,171.18,75.63
2021,1,3,7,30,0,0,0,166.97,78.07000000000001
2021,1,3,8,30,0,0,0,155.17000000000002,79.87
2021,1,3,9,30,0,0,0,142.44,79.77
2021,1,3,10,30,0,0,0,129.6,79.41
2021,1,3,11,30,0,0,0,116.89,77.47
2021,1,3,12,30,0,0,0,104.47,75.97
2021,1,3,13,30,0,0,0,92.52,73.09
2021,1,3,14,30,132,642,34,81.2,67.7
2021,1,3,15,30,328,862,50,71.13,63.07
2021,1,3,16,30,494,952,57,62.67,57.84
2021,1,3,17,30,608,995,61,56.63,51.53
2021,1,3,18,30,659,1004,67,53.84,46.19
2021,1,3,19,30,642,996,67,54.800000000000004,42.6
2021,1,3,20,30,558,966,65,59.33,41.25
2021,1,3,21,30,414,894,61,66.7,45.25
2021,1,3,22,30,229,753,48,76.07000000000001,64.05
2021,1,3,23,30,42,370,20,86.65,81.74
2021,1,4,0,30,0,0,0,98.49000000000001,83.99
2021,1,4,1,30,0,0,0,110.7,83.61
2021,1,4,2,30,0,0,0,123.29,81.37
2021,1,4,3,30,0,0,0,136.08,78.46000000000001
2021,1,4,4,30,0,0,0,148.91,76.12
2021,1,4,5,30,0,0,0,161.37,76.48
2021,1,4,6,30,0,0,0,171.04,78.19
2021,1,4,7,30,0,0,0,166.98,79.24
2021,1,4,8,30,0,0,0,155.22,78.56
2021,1,4,9,30,0,0,0,142.5,76.62
2021,1,4,10,30,0,0,0,129.65,74.36
2021,1,4,11,30,0,0,0,116.94,71.82000000000001
2021,1,4,12,30,0,0,0,104.51,70.26
2021,1,4,13,30,0,0,0,92.55,64.73
2021,1,4,14,30,130,628,34,81.22,57.49
2021,1,4,15,30,321,841,49,71.12,51.19
2021,1,4,16,30,485,934,56,62.64,44.38
2021,1,4,17,30,598,976,61,56.57,37.19
2021,1,4,18,30,649,992,62,53.74,35.1
2021,1,4,19,30,633,986,63,54.67,34.03
2021,1,4,20,30,548,951,60,59.19,34.52
2021,1,4,21,30,408,888,55,66.55,37.56
2021,1,4,22,30,227,754,43,75.92,56.120000000000005
2021,1,4,23,30,43,395,19,86.51,73.47
2021,1,5,0,30,0,0,0,98.35000000000001,75.05
2021,1,5,1,30,0,0,0,110.56,78.41
2021,1,5,2,30,0,0,0,123.15,82.51
2021,1,5,3,30,0,0,0,135.95,88.25
2021,1,5,4,30,0,0,0,148.77,93.86
2021,1,5,5,30,0,0,0,161.22,99.18
2021,1,5,6,30,0,0,0,170.9,100
2021,1,5,7,30,0,0,0,166.98,100
2021,1,5,8,30,0,0,0,155.27,100
2021,1,5,9,30,0,0,0,142.55,100
2021,1,5,10,30,0,0,0,129.71,100
2021,1,5,11,30,0,0,0,116.98,100
2021,1,5,12,30,0,0,0,104.55,100
2021,1,5,13,30,0,0,0,92.58,90.62
2021,1,5,14,30,127,593,36,81.22,78.85000000000001
2021,1,5,15,30,317,807,56,71.11,68.64
2021,1,5,16,30,478,892,68,62.6,59.92
2021,1,5,17,30,591,935,75,56.49,49.15
2021,1,5,18,30,640,949,77,53.63,42.61
2021,1,5,19,30,621,939,76,54.54,40.56
2021,1,5,20,30,538,903,73,59.04,40.800000000000004
2021,1,5,21,30,322,387,167,66.4,44.57
2021,1,5,22,30,181,215,128,75.76,58.34
2021,1,5,23,30,30,6,30,86.37,76.34
2021,1,6,0,30,0,0,0,98.2,82.25
2021,1,6,1,30,0,0,0,110.42,87.19
2021,1,6,2,30,0,0,0,123.01,91.61
2021,1,6,3,30,0,0,0,135.81,95.01
2021,1,6,4,30,0,0,0,148.63,97.75
2021,1,6,5,30,0,0,0,161.07,99.29
2021,1,6,6,30,0,0,0,170.76,99.69
2021,1,6,7,30,0,0,0,166.98,99.98
2021,1,6,8,30,0,0,0,155.31,100
2021,1,6,9,30,0,0,0,142.6,100
2021,1,6,10,30,0,0,0,129.75,100
2021,1,6,11,30,0,0,0,117.03,100
2021,1,6,12,30,0,0,0,104.58,100
2021,1,6,13,30,0,0,0,92.60000000000001,94.36
2021,1,6,14,30,124,558,39,81.23,77.03
2021,1,6,15,30,317,802,57,71.09,61.300000000000004
2021,1,6,16,30,482,904,66,62.550000000000004,53.09
2021,1,6,17,30,597,953,70,56.410000000000004,47.410000000000004
2021,1,6,18,30,646,964,73,53.52,42.93
2021,1,6,19,30,630,953,75,54.4,40.27
2021,1,6,20,30,548,925,71,58.89,39.61
2021,1,6,21,30,412,874,60,66.24,40.01
2021,1,6,22,30,233,757,45,75.61,42.1
2021,1,6,23,30,48,419,20,86.22,47.78
2021,1,7,0,30,0,0,0,98.05,54.33
2021,1,7,1,30,0,0,0,110.27,55.96
2021,1,7,2,30,0,0,0,122.87,54.99
2021,1,7,3,30,0,0,0,135.67000000000002,53.29
2021,1,7,4,30,0,0,0,148.49,52.85
2021,1,7,5,30,0,0,0,160.92000000000002,52.17
2021,1,7,6,30,0,0,0,170.6,53.24
2021,1,7,7,30,0,0,0,166.96,55.46
2021,1,7,8,30,0,0,0,155.34,57.32
2021,1,7,9,30,0,0,0,142.64000000000001,59.800000000000004
2021,1,7,10,30,0,0,0,129.8,62.230000000000004
2021,1,7,11,30,0,0,0,117.07000000000001,65.1
2021,1,7,12,30,0,0,0,104.61,67.93
2021,1,7,13,30,0,0,0,92.61,64.04
2021,1,7,14,30,134,671,31,81.22,53.69
2021,1,7,15,30,327,862,47,71.06,45.410000000000004
2021,1,7,16,30,494,949,56,62.5,37.54
2021,1,7,17,30,606,983,61,56.32,32.01
2021,1,7,18,30,658,999,62,53.4,29.5
2021,1,7,19,30,643,995,62,54.25,28.22
2021,1,7,20,30,562,968,59,58.730000000000004,27.86
2021,1,7,21,30,422,901,56,66.08,28.84
2021,1,7,22,30,239,773,45,75.45,39.1
2021,1,7,23,30,50,429,21,86.07000000000001,63.11
2021,1,8,0,30,0,0,0,97.9,63.92
2021,1,8,1,30,0,0,0,110.13,66.95
2021,1,8,2,30,0,0,0,122.73,69.60000000000001
2021,1,8,3,30,0,0,0,135.53,72.65
2021,1,8,4,30,0,0,0,148.35,75.75
2021,1,8,5,30,0,0,0,160.77,79.44
2021,1,8,6,30,0,0,0,170.44,83.25
2021,1,8,7,30,0,0,0,166.94,87.24
2021,1,8,8,30,0,0,0,155.37,90.59
2021,1,8,9,30,0,0,0,142.68,95.33
2021,1,8,10,30,0,0,0,129.84,100
2021,1,8,11,30,0,0,0,117.10000000000001,100
2021,1,8,12,30,0,0,0,104.63,100
