Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1724584,-,-,-,30,-95.01,0,23,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,102.63,96.33
2022,1,1,1,30,0,0,0,115.09,98.86
2022,1,1,2,30,0,0,0,127.86,99.01
2022,1,1,3,30,0,0,0,140.81,99.35000000000001
2022,1,1,4,30,0,0,0,153.75,99.15
2022,1,1,5,30,0,0,0,166.16,99.73
2022,1,1,6,30,0,0,0,172.85,99.71000000000001
2022,1,1,7,30,0,0,0,163.58,99.12
2022,1,1,8,30,0,0,0,150.95000000000002,99.05
2022,1,1,9,30,0,0,0,137.98,98.4
2022,1,1,10,30,0,0,0,125.05,98.11
2022,1,1,11,30,0,0,0,112.33,97.59
2022,1,1,12,30,0,0,0,99.96000000000001,97.03
2022,1,1,13,30,18,38,17,87.86,93.87
2022,1,1,14,30,82,6,81,77.07000000000001,89.04
2022,1,1,15,30,229,38,214,67.37,83.10000000000001
2022,1,1,16,30,114,0,114,59.56,73.65
2022,1,1,17,30,560,752,123,54.49,67.5
2022,1,1,18,30,452,295,274,52.96,63.17
2022,1,1,19,30,560,803,102,55.27,60.81
2022,1,1,20,30,393,454,173,60.99,61.160000000000004
2022,1,1,21,30,255,280,156,69.26,66.45
2022,1,1,22,30,143,491,52,79.26,81.07000000000001
2022,1,1,23,30,0,0,0,90,88.23
