Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1599628,-,-,-,32,-97.01,0,204,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,101.69,87.48
2022,1,1,1,30,0,0,0,113.87,89.64
2022,1,1,2,30,0,0,0,126.4,94.02
2022,1,1,3,30,0,0,0,139.09,98.28
2022,1,1,4,30,0,0,0,151.72,100
2022,1,1,5,30,0,0,0,163.70000000000002,100
2022,1,1,6,30,0,0,0,170.99,100
2022,1,1,7,30,0,0,0,164.23,100
2022,1,1,8,30,0,0,0,152.33,100
2022,1,1,9,30,0,0,0,139.70000000000002,99.96000000000001
2022,1,1,10,30,0,0,0,127,99.36
2022,1,1,11,30,0,0,0,114.47,98.96000000000001
2022,1,1,12,30,0,0,0,102.26,99.23
2022,1,1,13,30,0,0,0,90.04,98.09
2022,1,1,14,30,21,0,21,79.62,95.89
2022,1,1,15,30,40,0,40,70,93.64
2022,1,1,16,30,190,22,180,62.160000000000004,88.2
2022,1,1,17,30,333,123,266,56.88,74.45
2022,1,1,18,30,309,61,274,54.94,53.230000000000004
2022,1,1,19,30,428,310,258,56.67,34.31
2022,1,1,20,30,384,407,192,61.77,26.48
2022,1,1,21,30,276,359,150,69.48,27.97
2022,1,1,22,30,164,649,41,79.02,45.84
2022,1,1,23,30,0,0,0,89.46000000000001,61.52
2022,1,2,0,30,0,0,0,101.56,74.24
2022,1,2,1,30,0,0,0,113.74000000000001,81.92
2022,1,2,2,30,0,0,0,126.26,68.7
2022,1,2,3,30,0,0,0,138.95000000000002,55.88
2022,1,2,4,30,0,0,0,151.59,52.86
2022,1,2,5,30,0,0,0,163.56,50.51
2022,1,2,6,30,0,0,0,170.9,47.800000000000004
2022,1,2,7,30,0,0,0,164.26,49.09
2022,1,2,8,30,0,0,0,152.39000000000001,52.92
2022,1,2,9,30,0,0,0,139.77,54.49
2022,1,2,10,30,0,0,0,127.07000000000001,53.11
2022,1,2,11,30,0,0,0,114.52,52.620000000000005
2022,1,2,12,30,0,0,0,102.31,53.35
2022,1,2,13,30,0,0,0,90,52.620000000000005
2022,1,2,14,30,160,653,42,79.63,48.94
2022,1,2,15,30,347,841,59,70,44.37
2022,1,2,16,30,500,924,68,62.13,40.59
2022,1,2,17,30,596,957,72,56.82,37.800000000000004
2022,1,2,18,30,637,982,72,54.85,35.78
2022,1,2,19,30,607,980,67,56.550000000000004,34.76
2022,1,2,20,30,516,960,60,61.63,34.33
2022,1,2,21,30,365,887,52,69.34,34.96
2022,1,2,22,30,178,723,39,78.87,39.26
2022,1,2,23,30,0,0,0,89.31,50.95
2022,1,3,0,30,0,0,0,101.42,60.370000000000005
2022,1,3,1,30,0,0,0,113.60000000000001,65.28
2022,1,3,2,30,0,0,0,126.13000000000001,69.11
2022,1,3,3,30,0,0,0,138.82,72.61
2022,1,3,4,30,0,0,0,151.45000000000002,73.96000000000001
2022,1,3,5,30,0,0,0,163.42000000000002,72.16
2022,1,3,6,30,0,0,0,170.8,67.7
2022,1,3,7,30,0,0,0,164.29,64.64
2022,1,3,8,30,0,0,0,152.45000000000002,63.96
2022,1,3,9,30,0,0,0,139.83,68.39
2022,1,3,10,30,0,0,0,127.13000000000001,72.71000000000001
2022,1,3,11,30,0,0,0,114.58,74.37
2022,1,3,12,30,0,0,0,102.35000000000001,74.69
2022,1,3,13,30,0,0,0,90.04,67.81
2022,1,3,14,30,162,695,37,79.65,54.68
2022,1,3,15,30,349,869,52,69.99,41.86
2022,1,3,16,30,503,948,59,62.1,32.89
2022,1,3,17,30,603,985,63,56.76,26.1
2022,1,3,18,30,640,994,67,54.75,21.990000000000002
2022,1,3,19,30,615,994,66,56.43,20.59
2022,1,3,20,30,520,960,62,61.5,20.400000000000002
2022,1,3,21,30,369,877,57,69.2,22.07
2022,1,3,22,30,181,710,42,78.73,40.22
2022,1,3,23,30,0,0,0,89.19,55.910000000000004
2022,1,4,0,30,0,0,0,101.27,53.74
2022,1,4,1,30,0,0,0,113.46000000000001,52.25
2022,1,4,2,30,0,0,0,125.99000000000001,51.76
2022,1,4,3,30,0,0,0,138.68,52.9
2022,1,4,4,30,0,0,0,151.31,54.49
2022,1,4,5,30,0,0,0,163.27,57.160000000000004
2022,1,4,6,30,0,0,0,170.69,60.88
2022,1,4,7,30,0,0,0,164.31,66.63
2022,1,4,8,30,0,0,0,152.5,72.19
2022,1,4,9,30,0,0,0,139.88,76.04
2022,1,4,10,30,0,0,0,127.18,79.93
2022,1,4,11,30,0,0,0,114.63,83.87
2022,1,4,12,30,0,0,0,102.39,85.77
2022,1,4,13,30,0,0,0,90.07000000000001,78.69
2022,1,4,14,30,162,671,42,79.66,64.59
2022,1,4,15,30,348,845,59,69.98,50
2022,1,4,16,30,503,930,68,62.06,34.24
2022,1,4,17,30,601,962,72,56.69,25.45
2022,1,4,18,30,638,977,73,54.65,22.38
2022,1,4,19,30,608,968,71,56.300000000000004,21.16
2022,1,4,20,30,510,926,67,61.36,21.28
2022,1,4,21,30,361,843,60,69.05,23.400000000000002
2022,1,4,22,30,176,669,44,78.58,30.42
2022,1,4,23,30,0,0,0,89.08,39.67
2022,1,5,0,30,0,0,0,101.13,44.49
2022,1,5,1,30,0,0,0,113.32000000000001,50.17
2022,1,5,2,30,0,0,0,125.85000000000001,55.96
2022,1,5,3,30,0,0,0,138.54,59.870000000000005
2022,1,5,4,30,0,0,0,151.17000000000002,62.24
2022,1,5,5,30,0,0,0,163.13,65.52
2022,1,5,6,30,0,0,0,170.58,69.53
