Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1520530,-,-,-,29,-98.01,0,104,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,99.84,80.04
2022,1,1,1,30,0,0,0,112.31,87.57000000000001
2022,1,1,2,30,0,0,0,125.14,95.42
2022,1,1,3,30,0,0,0,138.17000000000002,98.58
2022,1,1,4,30,0,0,0,151.28,98.42
2022,1,1,5,30,0,0,0,164.14000000000001,97.81
2022,1,1,6,30,0,0,0,173.87,97.35000000000001
2022,1,1,7,30,0,0,0,166.37,97.24000000000001
2022,1,1,8,30,0,0,0,153.65,96.85000000000001
2022,1,1,9,30,0,0,0,140.56,97.34
2022,1,1,10,30,0,0,0,127.49000000000001,99.43
2022,1,1,11,30,0,0,0,114.62,100
2022,1,1,12,30,0,0,0,102.06,100
2022,1,1,13,30,0,0,0,89.54,97.75
2022,1,1,14,30,81,16,78,78.61,83.68
2022,1,1,15,30,185,50,167,68.49,64.19
2022,1,1,16,30,303,121,242,60.1,50.06
2022,1,1,17,30,490,492,203,54.29,44.800000000000004
2022,1,1,18,30,461,337,254,51.96,44
2022,1,1,19,30,228,14,219,53.550000000000004,43.33
2022,1,1,20,30,253,33,236,58.76,42.78
2022,1,1,21,30,144,13,139,66.72,44
2022,1,1,22,30,21,0,21,76.57000000000001,53.81
2022,1,1,23,30,18,1,18,87.51,64.55
2022,1,2,0,30,0,0,0,99.7,77.96000000000001
2022,1,2,1,30,0,0,0,112.18,86.33
2022,1,2,2,30,0,0,0,125.01,93.17
2022,1,2,3,30,0,0,0,138.04,99.13
2022,1,2,4,30,0,0,0,151.15,98.44
2022,1,2,5,30,0,0,0,164,97.72
2022,1,2,6,30,0,0,0,173.77,96.29
2022,1,2,7,30,0,0,0,166.42000000000002,69.85000000000001
2022,1,2,8,30,0,0,0,153.73,60.19
2022,1,2,9,30,0,0,0,140.63,56.58
2022,1,2,10,30,0,0,0,127.57000000000001,54.29
2022,1,2,11,30,0,0,0,114.68,55.34
2022,1,2,12,30,0,0,0,102.12,56.910000000000004
2022,1,2,13,30,0,0,0,89.53,53.800000000000004
2022,1,2,14,30,183,720,41,78.63,45.61
2022,1,2,15,30,383,893,55,68.49,37.26
2022,1,2,16,30,547,969,63,60.08,31.5
2022,1,2,17,30,662,1018,67,54.24,27.68
2022,1,2,18,30,697,1019,68,51.870000000000005,25.71
2022,1,2,19,30,669,1014,65,53.43,25.21
2022,1,2,20,30,573,988,59,58.620000000000005,25.68
2022,1,2,21,30,419,926,51,66.58,26.55
2022,1,2,22,30,229,805,40,76.42,29.54
2022,1,2,23,30,35,420,16,87.35000000000001,39.1
2022,1,3,0,30,0,0,0,99.56,53.28
2022,1,3,1,30,0,0,0,112.04,60.79
2022,1,3,2,30,0,0,0,124.87,66.73
2022,1,3,3,30,0,0,0,137.91,70.89
2022,1,3,4,30,0,0,0,151.01,72.54
2022,1,3,5,30,0,0,0,163.87,72.7
2022,1,3,6,30,0,0,0,173.65,72.92
2022,1,3,7,30,0,0,0,166.47,73.74
2022,1,3,8,30,0,0,0,153.8,75.18
2022,1,3,9,30,0,0,0,140.70000000000002,76.38
2022,1,3,10,30,0,0,0,127.64,76.41
2022,1,3,11,30,0,0,0,114.74000000000001,75.31
2022,1,3,12,30,0,0,0,102.17,72.89
2022,1,3,13,30,0,0,0,89.56,66.48
2022,1,3,14,30,182,743,36,78.66,53.95
2022,1,3,15,30,381,907,49,68.5,36.95
2022,1,3,16,30,545,981,56,60.050000000000004,26.82
2022,1,3,17,30,654,1016,59,54.18,23.25
2022,1,3,18,30,699,1021,67,51.77,21.490000000000002
2022,1,3,19,30,672,1014,66,53.31,20.71
2022,1,3,20,30,577,984,63,58.480000000000004,20.29
2022,1,3,21,30,424,916,58,66.44,20.87
2022,1,3,22,30,229,777,45,76.28,27.5
2022,1,3,23,30,36,382,18,87.22,50.81
2022,1,4,0,30,0,0,0,99.42,54.44
2022,1,4,1,30,0,0,0,111.91,57.52
2022,1,4,2,30,0,0,0,124.74000000000001,56.5
2022,1,4,3,30,0,0,0,137.78,56.56
2022,1,4,4,30,0,0,0,150.88,59.43
2022,1,4,5,30,0,0,0,163.73,62.28
2022,1,4,6,30,0,0,0,173.53,62.980000000000004
2022,1,4,7,30,0,0,0,166.51,65.71000000000001
2022,1,4,8,30,0,0,0,153.86,71.81
2022,1,4,9,30,0,0,0,140.77,75.42
2022,1,4,10,30,0,0,0,127.7,77.42
2022,1,4,11,30,0,0,0,114.8,77.92
2022,1,4,12,30,0,0,0,102.22,76.67
2022,1,4,13,30,0,0,0,89.61,69.16
2022,1,4,14,30,172,655,44,78.68,60.29
2022,1,4,15,30,368,836,61,68.49,48.52
2022,1,4,16,30,529,920,70,60.02,44.6
2022,1,4,17,30,638,961,74,54.11,40.74
2022,1,4,18,30,679,967,80,51.67,37.45
2022,1,4,19,30,654,962,77,53.19,36.31
2022,1,4,20,30,561,931,72,58.34,36.28
2022,1,4,21,30,409,847,68,66.29,38.63
2022,1,4,22,30,169,167,129,76.13,51.9
2022,1,4,23,30,34,281,20,87.09,71.79
2022,1,5,0,30,0,0,0,99.28,76.35000000000001
2022,1,5,1,30,0,0,0,111.77,81.08
2022,1,5,2,30,0,0,0,124.60000000000001,88.06
2022,1,5,3,30,0,0,0,137.65,96.61
2022,1,5,4,30,0,0,0,150.75,100
2022,1,5,5,30,0,0,0,163.58,100
2022,1,5,6,30,0,0,0,173.4,100
2022,1,5,7,30,0,0,0,166.54,100
2022,1,5,8,30,0,0,0,153.92000000000002,100
2022,1,5,9,30,0,0,0,140.83,100
2022,1,5,10,30,0,0,0,127.76,100
2022,1,5,11,30,0,0,0,114.86,100
2022,1,5,12,30,0,0,0,102.26,100
2022,1,5,13,30,0,0,0,89.64,100
2022,1,5,14,30,170,637,45,78.69,81.72
2022,1,5,15,30,367,838,59,68.48,66.82000000000001
2022,1,5,16,30,529,921,68,59.980000000000004,53.94
2022,1,5,17,30,636,960,73,54.04,43.27
2022,1,5,18,30,680,983,69,51.56,35.42
2022,1,5,19,30,654,975,68,53.050000000000004,29.35
2022,1,5,20,30,560,941,64,58.19,25.16
2022,1,5,21,30,411,871,58,66.14,25.97
2022,1,5,22,30,222,730,46,75.98,46.38
2022,1,5,23,30,37,341,18,86.95,46.1
2022,1,6,0,30,0,0,0,99.14,44.97
2022,1,6,1,30,0,0,0,111.63,50.4
2022,1,6,2,30,0,0,0,124.47,61.1
2022,1,6,3,30,0,0,0,137.51,75.69
2022,1,6,4,30,0,0,0,150.61,95.94
2022,1,6,5,30,0,0,0,163.44,100
2022,1,6,6,30,0,0,0,173.26,100
2022,1,6,7,30,0,0,0,166.57,100
2022,1,6,8,30,0,0,0,153.98,100
2022,1,6,9,30,0,0,0,140.89000000000001,100
2022,1,6,10,30,0,0,0,127.82000000000001,100
2022,1,6,11,30,0,0,0,114.9,100
2022,1,6,12,30,0,0,0,102.3,97.60000000000001
2022,1,6,13,30,0,0,0,89.66,77.48
2022,1,6,14,30,175,686,41,78.7,56.13
2022,1,6,15,30,370,854,57,68.47,45.38
2022,1,6,16,30,352,99,302,59.93,40.89
2022,1,6,17,30,643,973,70,53.96,34.15
2022,1,6,18,30,686,981,75,51.45,28.87
2022,1,6,19,30,661,975,73,52.910000000000004,25.84
2022,1,6,20,30,569,947,68,58.04,25.18
2022,1,6,21,30,419,876,62,65.98,26.52
2022,1,6,22,30,228,733,48,75.83,30.57
2022,1,6,23,30,39,356,19,86.8,37.72
2022,1,7,0,30,0,0,0,98.99000000000001,42.62
2022,1,7,1,30,0,0,0,111.49000000000001,44.92
2022,1,7,2,30,0,0,0,124.33,46.95
2022,1,7,3,30,0,0,0,137.38,49.59
2022,1,7,4,30,0,0,0,150.48,51.86
2022,1,7,5,30,0,0,0,163.29,53.5
2022,1,7,6,30,0,0,0,173.12,54.69
2022,1,7,7,30,0,0,0,166.59,55.35
2022,1,7,8,30,0,0,0,154.03,56.69
2022,1,7,9,30,0,0,0,140.95000000000002,57.53
2022,1,7,10,30,0,0,0,127.87,58.21
2022,1,7,11,30,0,0,0,114.95,58.94
2022,1,7,12,30,0,0,0,102.33,59.4
2022,1,7,13,30,0,0,0,89.66,57.69
2022,1,7,14,30,160,534,55,78.7,53.93
2022,1,7,15,30,77,0,77,68.44,52.39
2022,1,7,16,30,134,0,134,59.88,50.11
2022,1,7,17,30,619,894,92,53.870000000000005,48.870000000000005
2022,1,7,18,30,658,889,102,51.32,48.14
2022,1,7,19,30,632,881,99,52.76,48.77
2022,1,7,20,30,541,841,93,57.88,50.76
2022,1,7,21,30,392,756,83,65.81,54.57
2022,1,7,22,30,4,0,4,75.67,61.42
2022,1,7,23,30,34,197,23,86.65,71.5
2022,1,8,0,30,0,0,0,98.84,78.75
2022,1,8,1,30,0,0,0,111.34,83.94
2022,1,8,2,30,0,0,0,124.19,88.25
2022,1,8,3,30,0,0,0,137.24,90.39
2022,1,8,4,30,0,0,0,150.34,92.09
2022,1,8,5,30,0,0,0,163.15,93.35000000000001
2022,1,8,6,30,0,0,0,172.96,94.51
2022,1,8,7,30,0,0,0,166.6,96
2022,1,8,8,30,0,0,0,154.07,96.51
2022,1,8,9,30,0,0,0,141,97.44
2022,1,8,10,30,0,0,0,127.91,97.31
2022,1,8,11,30,0,0,0,114.99000000000001,95.42
2022,1,8,12,30,0,0,0,102.36,95.28
2022,1,8,13,30,0,0,0,89.7,92.67
2022,1,8,14,30,20,0,20,78.69,86.03
2022,1,8,15,30,335,704,76,68.41,80.60000000000001
2022,1,8,16,30,493,808,87,59.82,76.26
2022,1,8,17,30,600,860,92,53.77,71
2022,1,8,18,30,643,862,102,51.19,68.25
2022,1,8,19,30,621,856,101,52.6,67.01
2022,1,8,20,30,535,825,94,57.71,67.28
2022,1,8,21,30,389,724,90,65.65,69.26
2022,1,8,22,30,7,0,7,75.51,79.58
2022,1,8,23,30,36,201,24,86.51,95.32000000000001
2022,1,9,0,30,0,0,0,98.69,100
2022,1,9,1,30,0,0,0,111.2,100
2022,1,9,2,30,0,0,0,124.05,100
2022,1,9,3,30,0,0,0,137.1,100
2022,1,9,4,30,0,0,0,150.20000000000002,100
2022,1,9,5,30,0,0,0,163,100
2022,1,9,6,30,0,0,0,172.8,100
2022,1,9,7,30,0,0,0,166.61,100
2022,1,9,8,30,0,0,0,154.11,100
2022,1,9,9,30,0,0,0,141.04,100
2022,1,9,10,30,0,0,0,127.96000000000001,100
2022,1,9,11,30,0,0,0,115.02,100
2022,1,9,12,30,0,0,0,102.38,100
2022,1,9,13,30,0,0,0,89.71000000000001,93.99
2022,1,9,14,30,159,563,48,78.68,85.55
2022,1,9,15,30,345,748,69,68.38,75.68
2022,1,9,16,30,216,27,202,59.75,65.67
2022,1,9,17,30,609,883,86,53.67,55.5
2022,1,9,18,30,279,41,253,51.06,46.97
2022,1,9,19,30,152,3,150,52.44,40.730000000000004
2022,1,9,20,30,546,860,84,57.54,37.56
2022,1,9,21,30,312,336,172,65.48,37.1
