Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1196692,-,-,-,34,-102.01,0,1059,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,98.49000000000001,75.7
2022,1,1,1,30,0,0,0,110.28,81.94
2022,1,1,2,30,0,0,0,122.47,87.32000000000001
2022,1,1,3,30,0,0,0,134.87,91.4
2022,1,1,4,30,0,0,0,147.24,94.3
2022,1,1,5,30,0,0,0,159.06,94.64
2022,1,1,6,30,0,0,0,168.04,95.3
2022,1,1,7,30,0,0,0,166.13,95.44
2022,1,1,8,30,0,0,0,155.81,94.05
2022,1,1,9,30,0,0,0,143.74,96.4
2022,1,1,10,30,0,0,0,131.33,94.63
2022,1,1,11,30,0,0,0,118.97,87.89
2022,1,1,12,30,0,0,0,106.87,84.55
2022,1,1,13,30,0,0,0,95.22,83.14
2022,1,1,14,30,22,0,22,84.17,76.38
2022,1,1,15,30,134,8,132,74.39,67.27
2022,1,1,16,30,235,30,223,66.14,59.75
2022,1,1,17,30,331,70,296,60.160000000000004,56.03
2022,1,1,18,30,386,102,331,57.17,54.88
2022,1,1,19,30,570,923,77,57.65,56.32
2022,1,1,20,30,74,0,74,61.53,61.04
2022,1,1,21,30,75,1,74,68.21000000000001,68.39
2022,1,1,22,30,5,0,5,76.95,76.02
2022,1,1,23,30,8,0,8,86.98,79.87
2022,1,2,0,30,0,0,0,98.36,73.5
2022,1,2,1,30,0,0,0,110.15,65.28
2022,1,2,2,30,0,0,0,122.34,61.43
2022,1,2,3,30,0,0,0,134.73,57.28
2022,1,2,4,30,0,0,0,147.1,53.300000000000004
2022,1,2,5,30,0,0,0,158.92000000000002,50.07
2022,1,2,6,30,0,0,0,167.91,49.31
2022,1,2,7,30,0,0,0,166.13,49.85
2022,1,2,8,30,0,0,0,155.86,50.6
2022,1,2,9,30,0,0,0,143.79,51.89
2022,1,2,10,30,0,0,0,131.39000000000001,52.76
2022,1,2,11,30,0,0,0,119.02,53.43
2022,1,2,12,30,0,0,0,106.91,54.31
2022,1,2,13,30,0,0,0,95.26,52.74
2022,1,2,14,30,20,0,20,84.18,45.97
2022,1,2,15,30,51,0,51,74.39,38.31
2022,1,2,16,30,106,0,106,66.12,32.75
2022,1,2,17,30,558,1005,57,60.11,27.93
2022,1,2,18,30,615,1026,57,57.09,24.830000000000002
2022,1,2,19,30,606,1025,56,57.550000000000004,22.080000000000002
2022,1,2,20,30,532,1002,52,61.4,19.79
2022,1,2,21,30,399,946,46,68.08,18.740000000000002
2022,1,2,22,30,224,824,36,76.81,28.36
2022,1,2,23,30,43,477,17,86.85000000000001,31.32
2022,1,3,0,30,0,0,0,98.22,26.85
2022,1,3,1,30,0,0,0,110.01,26.73
2022,1,3,2,30,0,0,0,122.2,26.93
2022,1,3,3,30,0,0,0,134.6,28.060000000000002
2022,1,3,4,30,0,0,0,146.96,28.76
2022,1,3,5,30,0,0,0,158.78,32.22
2022,1,3,6,30,0,0,0,167.79,34.85
2022,1,3,7,30,0,0,0,166.11,36.87
2022,1,3,8,30,0,0,0,155.9,38.67
