Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1520480,-,-,-,30,-98.01,0,287,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2023,1,1,0,30,0,0,0,100.22,70.93
2023,1,1,1,30,0,0,0,112.60000000000001,71.03
2023,1,1,2,30,0,0,0,125.32000000000001,72.66
2023,1,1,3,30,0,0,0,138.25,75.67
2023,1,1,4,30,0,0,0,151.21,80.28
2023,1,1,5,30,0,0,0,163.83,86.13
2023,1,1,6,30,0,0,0,172.92000000000002,91.46000000000001
2023,1,1,7,30,0,0,0,165.94,96.68
2023,1,1,8,30,0,0,0,153.51,100
2023,1,1,9,30,0,0,0,140.56,100
2023,1,1,10,30,0,0,0,127.61,100
2023,1,1,11,30,0,0,0,114.84,100
2023,1,1,12,30,0,0,0,102.38,100
2023,1,1,13,30,0,0,0,89.9,100
2023,1,1,14,30,158,612,43,79.17,85.56
2023,1,1,15,30,156,9,153,69.19,74.92
2023,1,1,16,30,288,50,264,60.94,67.85
2023,1,1,17,30,403,126,331,55.25,62.83
2023,1,1,18,30,636,913,87,52.980000000000004,59.19
2023,1,1,19,30,494,342,296,54.54,57.07
2023,1,1,20,30,445,583,150,59.64,57.78
2023,1,1,21,30,322,477,139,67.48,62.97
2023,1,1,22,30,155,203,110,77.19,80.27
2023,1,1,23,30,16,1,16,87.98,90.33
2023,1,2,0,30,0,0,0,100.09,92.05
2023,1,2,1,30,0,0,0,112.46000000000001,94.81
2023,1,2,2,30,0,0,0,125.19,98.47
2023,1,2,3,30,0,0,0,138.12,100
2023,1,2,4,30,0,0,0,151.08,100
2023,1,2,5,30,0,0,0,163.69,100
2023,1,2,6,30,0,0,0,172.81,100
2023,1,2,7,30,0,0,0,165.99,100
2023,1,2,8,30,0,0,0,153.58,100
2023,1,2,9,30,0,0,0,140.63,100
2023,1,2,10,30,0,0,0,127.68,100
2023,1,2,11,30,0,0,0,114.9,100
2023,1,2,12,30,0,0,0,102.44,100
2023,1,2,13,30,0,0,0,89.95,97.41
2023,1,2,14,30,5,0,5,79.2,93.73
2023,1,2,15,30,185,19,179,69.19,90.59
2023,1,2,16,30,465,761,95,60.92,84.13
2023,1,2,17,30,571,832,95,55.2,75.21000000000001
2023,1,2,18,30,112,0,112,52.89,68.32000000000001
2023,1,2,19,30,353,70,312,54.43,63.08
2023,1,2,20,30,513,873,70,59.52,59.660000000000004
2023,1,2,21,30,372,810,60,67.34,60.45
2023,1,2,22,30,194,664,45,77.05,73.19
2023,1,2,23,30,17,3,17,87.85000000000001,82.63
2023,1,3,0,30,0,0,0,99.95,81.86
2023,1,3,1,30,0,0,0,112.33,81.15
2023,1,3,2,30,0,0,0,125.06,81.47
2023,1,3,3,30,0,0,0,137.98,83.77
2023,1,3,4,30,0,0,0,150.95000000000002,88.75
2023,1,3,5,30,0,0,0,163.55,91.85000000000001
2023,1,3,6,30,0,0,0,172.70000000000002,86.51
2023,1,3,7,30,0,0,0,166.02,76.84
2023,1,3,8,30,0,0,0,153.64000000000001,71.3
2023,1,3,9,30,0,0,0,140.70000000000002,69.13
2023,1,3,10,30,0,0,0,127.74000000000001,66.87
2023,1,3,11,30,0,0,0,114.96000000000001,65.14
2023,1,3,12,30,0,0,0,102.49000000000001,63.86
2023,1,3,13,30,0,0,0,89.97,58.550000000000004
2023,1,3,14,30,98,35,92,79.22,48.79
2023,1,3,15,30,147,18,140,69.19,38.9
2023,1,3,16,30,504,914,60,60.89,33.02
2023,1,3,17,30,608,951,64,55.14,29.51
2023,1,3,18,30,554,456,279,52.800000000000004,29.330000000000002
2023,1,3,19,30,485,517,184,54.31,30.35
2023,1,3,20,30,217,25,204,59.38,32.43
2023,1,3,21,30,384,842,57,67.2,38.92
2023,1,3,22,30,200,688,44,76.91,61.25
2023,1,3,23,30,12,0,12,87.71000000000001,68.46000000000001
2023,1,4,0,30,0,0,0,99.81,68.69
2023,1,4,1,30,0,0,0,112.19,69.38
2023,1,4,2,30,0,0,0,124.92,69.66
2023,1,4,3,30,0,0,0,137.85,69.32000000000001
2023,1,4,4,30,0,0,0,150.81,68.92
2023,1,4,5,30,0,0,0,163.41,69.19
2023,1,4,6,30,0,0,0,172.59,69.09
2023,1,4,7,30,0,0,0,166.06,68.71000000000001
2023,1,4,8,30,0,0,0,153.70000000000002,68.04
2023,1,4,9,30,0,0,0,140.76,66.71000000000001
2023,1,4,10,30,0,0,0,127.81,66
2023,1,4,11,30,0,0,0,115.01,67.61
2023,1,4,12,30,0,0,0,102.53,67.6
2023,1,4,13,30,0,0,0,89.99,63.47
2023,1,4,14,30,127,202,89,79.23,55.79
2023,1,4,15,30,271,345,148,69.19,48.78
2023,1,4,16,30,517,943,58,60.86,40.730000000000004
2023,1,4,17,30,623,979,63,55.07,33.92
2023,1,4,18,30,664,994,62,52.7,30.37
2023,1,4,19,30,638,987,60,54.18,27.97
2023,1,4,20,30,546,958,56,59.24,27.09
2023,1,4,21,30,399,874,58,67.05,31.09
2023,1,4,22,30,213,734,45,76.76,58.03
2023,1,4,23,30,30,321,16,87.57000000000001,54.86
2023,1,5,0,30,0,0,0,99.67,52.02
2023,1,5,1,30,0,0,0,112.05,56.32
2023,1,5,2,30,0,0,0,124.79,62.550000000000004
2023,1,5,3,30,0,0,0,137.72,66.08
2023,1,5,4,30,0,0,0,150.68,68.3
2023,1,5,5,30,0,0,0,163.27,69.89
2023,1,5,6,30,0,0,0,172.46,71.08
2023,1,5,7,30,0,0,0,166.08,71.43
2023,1,5,8,30,0,0,0,153.76,71.04
2023,1,5,9,30,0,0,0,140.82,73.52
2023,1,5,10,30,0,0,0,127.86,77.58
2023,1,5,11,30,0,0,0,115.07000000000001,79.68
2023,1,5,12,30,0,0,0,102.58,79.52
2023,1,5,13,30,0,0,0,90,69.42
2023,1,5,14,30,163,657,41,79.24,56.35
2023,1,5,15,30,354,838,56,69.18,48.07
2023,1,5,16,30,513,923,63,60.82,41.99
2023,1,5,17,30,617,958,67,55,38.93
2023,1,5,18,30,656,965,70,52.59,36.81
2023,1,5,19,30,631,956,70,54.050000000000004,35.46
2023,1,5,20,30,538,919,66,59.09,34.660000000000004
2023,1,5,21,30,394,857,58,66.9,36.54
2023,1,5,22,30,209,713,44,76.61,55.19
2023,1,5,23,30,31,315,16,87.43,73.18
2023,1,6,0,30,0,0,0,99.53,72.8
2023,1,6,1,30,0,0,0,111.91,76.08
2023,1,6,2,30,0,0,0,124.65,79.5
2023,1,6,3,30,0,0,0,137.58,82.63
2023,1,6,4,30,0,0,0,150.54,84.52
2023,1,6,5,30,0,0,0,163.12,86.31
2023,1,6,6,30,0,0,0,172.33,87.82000000000001
2023,1,6,7,30,0,0,0,166.1,89.12
2023,1,6,8,30,0,0,0,153.81,91.34
2023,1,6,9,30,0,0,0,140.88,95.41
2023,1,6,10,30,0,0,0,127.92,100
2023,1,6,11,30,0,0,0,115.11,100
2023,1,6,12,30,0,0,0,102.61,100
2023,1,6,13,30,0,0,0,90.03,100
2023,1,6,14,30,157,611,43,79.25,87.57000000000001
2023,1,6,15,30,342,787,62,69.16,78.77
2023,1,6,16,30,498,873,72,60.77,75.64
2023,1,6,17,30,602,916,76,54.92,71.11
2023,1,6,18,30,642,929,76,52.480000000000004,64.19
2023,1,6,19,30,618,924,74,53.910000000000004,59.9
2023,1,6,20,30,530,891,70,58.94,58.410000000000004
2023,1,6,21,30,384,805,66,66.74,59.92
2023,1,6,22,30,204,658,50,76.46000000000001,69.25
2023,1,6,23,30,30,256,18,87.29,78.3
2023,1,7,0,30,0,0,0,99.38,79.76
2023,1,7,1,30,0,0,0,111.77,81.97
2023,1,7,2,30,0,0,0,124.51,89.53
2023,1,7,3,30,0,0,0,137.44,100
2023,1,7,4,30,0,0,0,150.4,100
2023,1,7,5,30,0,0,0,162.98,100
2023,1,7,6,30,0,0,0,172.19,100
2023,1,7,7,30,0,0,0,166.11,100
2023,1,7,8,30,0,0,0,153.85,100
2023,1,7,9,30,0,0,0,140.93,100
2023,1,7,10,30,0,0,0,127.97,100
2023,1,7,11,30,0,0,0,115.15,100
2023,1,7,12,30,0,0,0,102.64,100
2023,1,7,13,30,0,0,0,90.06,98.04
2023,1,7,14,30,28,0,28,79.25,91.47
2023,1,7,15,30,221,61,200,69.14,85.75
2023,1,7,16,30,478,798,88,60.72,81
2023,1,7,17,30,205,1,205,54.83,74.96000000000001
2023,1,7,18,30,623,865,95,52.35,69.01
2023,1,7,19,30,287,22,274,53.76,65.1
2023,1,7,20,30,120,0,120,58.78,65.16
2023,1,7,21,30,137,1,137,66.58,69.37
2023,1,7,22,30,18,0,18,76.3,82.85000000000001
2023,1,7,23,30,12,0,12,87.15,91.47
2023,1,8,0,30,0,0,0,99.23,92.05
2023,1,8,1,30,0,0,0,111.63,92.39
2023,1,8,2,30,0,0,0,124.37,92.07000000000001
2023,1,8,3,30,0,0,0,137.31,87.63
2023,1,8,4,30,0,0,0,150.26,80.05
2023,1,8,5,30,0,0,0,162.83,73.66
2023,1,8,6,30,0,0,0,172.04,72.13
2023,1,8,7,30,0,0,0,166.11,73.34
2023,1,8,8,30,0,0,0,153.89000000000001,75.31
2023,1,8,9,30,0,0,0,140.98,75.18
2023,1,8,10,30,0,0,0,128.01,75.68
2023,1,8,11,30,0,0,0,115.19,78.18
2023,1,8,12,30,0,0,0,102.67,80.97
2023,1,8,13,30,0,0,0,90.05,79.23
2023,1,8,14,30,158,612,44,79.24,69.29
2023,1,8,15,30,352,816,61,69.10000000000001,59.82
2023,1,8,16,30,515,911,69,60.660000000000004,52.910000000000004
2023,1,8,17,30,626,961,71,54.730000000000004,47.160000000000004
2023,1,8,18,30,674,984,71,52.22,42.69
2023,1,8,19,30,650,979,69,53.61,39.52
2023,1,8,20,30,560,950,65,58.620000000000005,38.29
2023,1,8,21,30,412,876,61,66.42,39.09
2023,1,8,22,30,225,739,48,76.14,52.5
2023,1,8,23,30,37,349,19,86.99,72.15
2023,1,9,0,30,0,0,0,99.08,71.21000000000001
2023,1,9,1,30,0,0,0,111.48,70.75
2023,1,9,2,30,0,0,0,124.23,68.75
2023,1,9,3,30,0,0,0,137.17000000000002,67.33
2023,1,9,4,30,0,0,0,150.12,70.19
2023,1,9,5,30,0,0,0,162.67000000000002,72.54
2023,1,9,6,30,0,0,0,171.88,74.9
2023,1,9,7,30,0,0,0,166.11,76.16
2023,1,9,8,30,0,0,0,153.93,77.68
2023,1,9,9,30,0,0,0,141.02,80.10000000000001
2023,1,9,10,30,0,0,0,128.05,83.03
2023,1,9,11,30,0,0,0,115.22,86.91
2023,1,9,12,30,0,0,0,102.69,88.84
2023,1,9,13,30,0,0,0,90.06,81.57000000000001
2023,1,9,14,30,157,589,47,79.23,77.26
2023,1,9,15,30,269,202,196,69.07000000000001,66.78
2023,1,9,16,30,503,871,76,60.59,58.9
2023,1,9,17,30,607,908,82,54.63,52.57
2023,1,9,18,30,653,949,70,52.09,48.4
2023,1,9,19,30,630,942,69,53.45,45.93
2023,1,9,20,30,544,914,66,58.45,45.21
2023,1,9,21,30,399,832,63,66.25,46.9
2023,1,9,22,30,217,690,50,75.97,62.31
2023,1,9,23,30,37,310,20,86.84,76.97
2023,1,10,0,30,0,0,0,98.93,76.48
2023,1,10,1,30,0,0,0,111.34,77.61
2023,1,10,2,30,0,0,0,124.09,78.77
2023,1,10,3,30,0,0,0,137.03,80.37
2023,1,10,4,30,0,0,0,149.98,82.04
2023,1,10,5,30,0,0,0,162.52,83.39
2023,1,10,6,30,0,0,0,171.72,84.86
2023,1,10,7,30,0,0,0,166.09,85.89
2023,1,10,8,30,0,0,0,153.95000000000002,85.86
2023,1,10,9,30,0,0,0,141.05,86.71000000000001
2023,1,10,10,30,0,0,0,128.08,87.66
