Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1520280,-,-,-,34,-98.01,0,261,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2023,1,1,0,30,0,0,0,101.62,66.05
2023,1,1,1,30,0,0,0,113.54,69.4
2023,1,1,2,30,0,0,0,125.8,71.31
2023,1,1,3,30,0,0,0,138.22,72.8
2023,1,1,4,30,0,0,0,150.51,74.29
2023,1,1,5,30,0,0,0,161.97,76.45
2023,1,1,6,30,0,0,0,168.96,79.75
2023,1,1,7,30,0,0,0,163.76,82.13
2023,1,1,8,30,0,0,0,152.65,82.51
2023,1,1,9,30,0,0,0,140.42000000000002,81.78
2023,1,1,10,30,0,0,0,128,81.46000000000001
2023,1,1,11,30,0,0,0,115.69,81.87
2023,1,1,12,30,0,0,0,103.69,83.93
2023,1,1,13,30,0,0,0,92.22,81.87
2023,1,1,14,30,78,27,74,81.44,75.45
2023,1,1,15,30,244,404,119,72.01,67.3
2023,1,1,16,30,353,432,166,64.3,58.120000000000005
2023,1,1,17,30,536,925,60,59.050000000000004,48.7
2023,1,1,18,30,571,939,59,56.97,43.51
2023,1,1,19,30,544,927,58,58.4,41.26
2023,1,1,20,30,444,712,122,63.1,41.51
2023,1,1,21,30,306,618,98,70.4,51.57
2023,1,1,22,30,105,59,95,79.56,70.33
2023,1,1,23,30,0,0,0,89.66,65.89
2023,1,2,0,30,0,0,0,101.49000000000001,71.17
2023,1,2,1,30,0,0,0,113.4,77.5
2023,1,2,2,30,0,0,0,125.67,84.99
2023,1,2,3,30,0,0,0,138.08,91.25
2023,1,2,4,30,0,0,0,150.38,97.67
2023,1,2,5,30,0,0,0,161.83,100
2023,1,2,6,30,0,0,0,168.86,100
2023,1,2,7,30,0,0,0,163.78,100
2023,1,2,8,30,0,0,0,152.70000000000002,100
2023,1,2,9,30,0,0,0,140.48,100
2023,1,2,10,30,0,0,0,128.06,100
2023,1,2,11,30,0,0,0,115.75,100
2023,1,2,12,30,0,0,0,103.74000000000001,100
2023,1,2,13,30,0,0,0,92.25,95.23
2023,1,2,14,30,4,0,4,81.46000000000001,90.11
2023,1,2,15,30,66,0,66,72.01,83.52
2023,1,2,16,30,171,16,164,64.27,78.3
2023,1,2,17,30,247,56,218,59,73.31
2023,1,2,18,30,283,64,248,56.89,68.33
2023,1,2,19,30,199,14,192,58.29,64.07000000000001
2023,1,2,20,30,224,45,203,62.97,61.85
2023,1,2,21,30,115,10,111,70.27,64.44
2023,1,2,22,30,53,3,52,79.43,75.87
2023,1,2,23,30,0,0,0,89.54,78.02
2023,1,3,0,30,0,0,0,101.35000000000001,74.69
2023,1,3,1,30,0,0,0,113.26,70.32000000000001
2023,1,3,2,30,0,0,0,125.53,66.83
2023,1,3,3,30,0,0,0,137.95000000000002,65.27
2023,1,3,4,30,0,0,0,150.24,62.77
2023,1,3,5,30,0,0,0,161.69,60.01
2023,1,3,6,30,0,0,0,168.76,58.81
2023,1,3,7,30,0,0,0,163.78,56.95
2023,1,3,8,30,0,0,0,152.75,55.75
2023,1,3,9,30,0,0,0,140.54,57.36
2023,1,3,10,30,0,0,0,128.12,60.32
2023,1,3,11,30,0,0,0,115.8,62.5
2023,1,3,12,30,0,0,0,103.78,65.49
2023,1,3,13,30,0,0,0,92.28,62.83
2023,1,3,14,30,83,16,81,81.47,54.6
2023,1,3,15,30,212,153,165,72,48.26
2023,1,3,16,30,369,502,151,64.24,44.89
2023,1,3,17,30,448,503,189,58.93,42.94
2023,1,3,18,30,583,941,68,56.79,41.36
2023,1,3,19,30,485,579,180,58.17,40.44
2023,1,3,20,30,88,1,88,62.84,40.36
2023,1,3,21,30,76,2,75,70.13,42.37
2023,1,3,22,30,81,17,78,79.28,53.93
2023,1,3,23,30,0,0,0,89.4,67.41
2023,1,4,0,30,0,0,0,101.2,67.08
2023,1,4,1,30,0,0,0,113.13,67.53
2023,1,4,2,30,0,0,0,125.39,68.09
2023,1,4,3,30,0,0,0,137.81,69.39
2023,1,4,4,30,0,0,0,150.1,70.66
2023,1,4,5,30,0,0,0,161.55,71.71000000000001
2023,1,4,6,30,0,0,0,168.65,72.56
2023,1,4,7,30,0,0,0,163.78,73.54
2023,1,4,8,30,0,0,0,152.79,74.44
2023,1,4,9,30,0,0,0,140.59,75.97
2023,1,4,10,30,0,0,0,128.17000000000002,78.74
2023,1,4,11,30,0,0,0,115.84,81.04
2023,1,4,12,30,0,0,0,103.82000000000001,82.88
2023,1,4,13,30,0,0,0,92.31,75.92
2023,1,4,14,30,82,13,80,81.48,65.37
2023,1,4,15,30,302,819,48,71.99,54.22
2023,1,4,16,30,454,914,56,64.2,47.22
2023,1,4,17,30,555,956,61,58.86,43.45
2023,1,4,18,30,595,970,62,56.69,41
2023,1,4,19,30,569,962,60,58.050000000000004,40.39
2023,1,4,20,30,482,928,57,62.7,40.49
2023,1,4,21,30,342,846,53,69.98,42.980000000000004
2023,1,4,22,30,167,682,38,79.13,57.31
2023,1,4,23,30,0,0,0,89.27,63.440000000000005
2023,1,5,0,30,0,0,0,101.06,62.56
2023,1,5,1,30,0,0,0,112.98,63.480000000000004
2023,1,5,2,30,0,0,0,125.25,64.71000000000001
2023,1,5,3,30,0,0,0,137.67000000000002,65.88
2023,1,5,4,30,0,0,0,149.96,68.34
2023,1,5,5,30,0,0,0,161.4,71.73
2023,1,5,6,30,0,0,0,168.53,74.66
2023,1,5,7,30,0,0,0,163.78,77.12
2023,1,5,8,30,0,0,0,152.82,78.33
2023,1,5,9,30,0,0,0,140.63,78.28
2023,1,5,10,30,0,0,0,128.21,78.82000000000001
2023,1,5,11,30,0,0,0,115.88,80.74
2023,1,5,12,30,0,0,0,103.85000000000001,83.18
2023,1,5,13,30,0,0,0,92.33,77.2
2023,1,5,14,30,129,652,33,81.48,66.05
2023,1,5,15,30,312,851,48,71.97,55.410000000000004
2023,1,5,16,30,462,930,56,64.15,44.03
