Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1041606,-,-,-,30,-104.01,0,1245,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2021,1,1,0,30,0,0,0,95.34,67.06
2021,1,1,1,30,0,0,0,107.53,63.15
2021,1,1,2,30,0,0,0,120.13,61.11
2021,1,1,3,30,0,0,0,132.99,58.35
2021,1,1,4,30,0,0,0,145.96,56.84
2021,1,1,5,30,0,0,0,158.81,56.04
2021,1,1,6,30,0,0,0,170.35,55.74
2021,1,1,7,30,0,0,0,170.23,56.97
2021,1,1,8,30,0,0,0,158.64000000000001,57.32
2021,1,1,9,30,0,0,0,145.79,57.88
2021,1,1,10,30,0,0,0,132.81,58.63
2021,1,1,11,30,0,0,0,119.95,59.24
2021,1,1,12,30,0,0,0,107.35000000000001,60.97
2021,1,1,13,30,0,0,0,95.17,60.050000000000004
2021,1,1,14,30,94,564,30,83.51,52.620000000000005
2021,1,1,15,30,296,828,54,73.02,52.42
2021,1,1,16,30,421,534,187,63.980000000000004,58.58
2021,1,1,17,30,611,980,80,57.14,54.64
2021,1,1,18,30,680,993,89,53.4,48.21
2021,1,1,19,30,680,994,88,53.4,44
2021,1,1,20,30,610,972,83,57.160000000000004,40.230000000000004
2021,1,1,21,30,425,415,243,64.01,37.44
2021,1,1,22,30,292,798,60,73.06,39.32
2021,1,1,23,30,91,516,33,83.55,52.81
2021,1,2,0,30,0,0,0,95.21000000000001,46.58
2021,1,2,1,30,0,0,0,107.39,48.42
2021,1,2,2,30,0,0,0,120,50.42
2021,1,2,3,30,0,0,0,132.86,52.22
2021,1,2,4,30,0,0,0,145.83,53.43
2021,1,2,5,30,0,0,0,158.67000000000002,53.13
2021,1,2,6,30,0,0,0,170.21,51.45
2021,1,2,7,30,0,0,0,170.24,50.28
2021,1,2,8,30,0,0,0,158.70000000000002,50.550000000000004
2021,1,2,9,30,0,0,0,145.86,51.61
2021,1,2,10,30,0,0,0,132.88,51.71
2021,1,2,11,30,0,0,0,120.02,53.07
2021,1,2,12,30,0,0,0,107.4,56.5
2021,1,2,13,30,0,0,0,95.21000000000001,56.480000000000004
2021,1,2,14,30,98,628,27,83.54,52.88
2021,1,2,15,30,301,869,47,73.04,50.910000000000004
2021,1,2,16,30,484,969,59,63.97,49.26
2021,1,2,17,30,618,1018,65,57.1,39.300000000000004
2021,1,2,18,30,690,1008,88,53.32,33.78
2021,1,2,19,30,691,1011,87,53.300000000000004,31.07
2021,1,2,20,30,621,994,81,57.03,29.36
2021,1,2,21,30,487,939,73,63.870000000000005,29.080000000000002
2021,1,2,22,30,303,835,57,72.92,36
2021,1,2,23,30,97,566,32,83.41,56.84
2021,1,3,0,30,0,0,0,95.07000000000001,52.59
2021,1,3,1,30,0,0,0,107.25,53.32
2021,1,3,2,30,0,0,0,119.86,53.620000000000005
2021,1,3,3,30,0,0,0,132.73,53.58
2021,1,3,4,30,0,0,0,145.70000000000002,52.65
2021,1,3,5,30,0,0,0,158.54,52.410000000000004
2021,1,3,6,30,0,0,0,170.07,53.870000000000005
2021,1,3,7,30,0,0,0,170.23,55.92
2021,1,3,8,30,0,0,0,158.76,58.88
2021,1,3,9,30,0,0,0,145.93,61.28
2021,1,3,10,30,0,0,0,132.95,61.730000000000004
2021,1,3,11,30,0,0,0,120.08,62.65
2021,1,3,12,30,0,0,0,107.46000000000001,63.47
2021,1,3,13,30,0,0,0,95.25,59.29
2021,1,3,14,30,95,606,27,83.57000000000001,51.76
2021,1,3,15,30,299,865,46,73.05,44.410000000000004
2021,1,3,16,30,481,967,57,63.95,37.85
2021,1,3,17,30,615,1014,64,57.050000000000004,29.13
2021,1,3,18,30,686,1029,70,53.24,24.16
2021,1,3,19,30,687,1033,68,53.19,22.05
2021,1,3,20,30,618,1016,63,56.9,21.240000000000002
2021,1,3,21,30,486,950,65,63.730000000000004,21.77
2021,1,3,22,30,304,849,52,72.77,30.13
2021,1,3,23,30,100,593,30,83.27,53.39
