Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1520480,-,-,-,30,-98.01,0,287,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,100.19,87.48
2022,1,1,1,30,0,0,0,112.56,92.33
2022,1,1,2,30,0,0,0,125.29,98.04
2022,1,1,3,30,0,0,0,138.21,100
2022,1,1,4,30,0,0,0,151.18,100
2022,1,1,5,30,0,0,0,163.79,100
2022,1,1,6,30,0,0,0,172.89000000000001,100
2022,1,1,7,30,0,0,0,165.95000000000002,99.37
2022,1,1,8,30,0,0,0,153.52,99.4
2022,1,1,9,30,0,0,0,140.58,98.74000000000001
2022,1,1,10,30,0,0,0,127.63000000000001,99.06
2022,1,1,11,30,0,0,0,114.85000000000001,100
2022,1,1,12,30,0,0,0,102.4,100
2022,1,1,13,30,0,0,0,89.93,98.36
2022,1,1,14,30,61,7,60,79.18,92.93
2022,1,1,15,30,99,4,97,69.19,84.96000000000001
2022,1,1,16,30,126,3,125,60.93,75.98
2022,1,1,17,30,211,16,202,55.24,65.18
2022,1,1,18,30,194,8,189,52.96,55.34
2022,1,1,19,30,202,13,194,54.51,45.84
2022,1,1,20,30,259,51,233,59.61,38.4
2022,1,1,21,30,252,135,200,67.45,35.86
2022,1,1,22,30,84,10,82,77.16,49.44
2022,1,1,23,30,16,3,16,87.95,61.13
2022,1,2,0,30,0,0,0,100.06,68.05
2022,1,2,1,30,0,0,0,112.43,77.44
2022,1,2,2,30,0,0,0,125.16,82.49
2022,1,2,3,30,0,0,0,138.08,82.54
2022,1,2,4,30,0,0,0,151.05,84.15
2022,1,2,5,30,0,0,0,163.66,85.07000000000001
2022,1,2,6,30,0,0,0,172.79,74.16
2022,1,2,7,30,0,0,0,166,65.19
2022,1,2,8,30,0,0,0,153.59,58.910000000000004
2022,1,2,9,30,0,0,0,140.65,58.96
2022,1,2,10,30,0,0,0,127.7,60.59
2022,1,2,11,30,0,0,0,114.91,59.82
2022,1,2,12,30,0,0,0,102.45,55.99
2022,1,2,13,30,0,0,0,89.91,51.86
2022,1,2,14,30,173,711,39,79.2,47.45
2022,1,2,15,30,369,888,53,69.19,41.550000000000004
2022,1,2,16,30,530,967,60,60.910000000000004,36.28
2022,1,2,17,30,637,1005,63,55.18,33
2022,1,2,18,30,679,1019,63,52.870000000000005,31.310000000000002
2022,1,2,19,30,650,1015,59,54.4,30.18
2022,1,2,20,30,562,1000,54,59.480000000000004,29.76
2022,1,2,21,30,409,938,47,67.3,29.95
2022,1,2,22,30,217,801,37,77.01,33.02
2022,1,2,23,30,29,396,14,87.8,42.84
2022,1,3,0,30,0,0,0,99.92,55.7
2022,1,3,1,30,0,0,0,112.29,61.74
2022,1,3,2,30,0,0,0,125.02,66.85
2022,1,3,3,30,0,0,0,137.95000000000002,70.37
2022,1,3,4,30,0,0,0,150.91,71.31
2022,1,3,5,30,0,0,0,163.52,68.56
2022,1,3,6,30,0,0,0,172.68,64.15
2022,1,3,7,30,0,0,0,166.03,63.050000000000004
2022,1,3,8,30,0,0,0,153.66,65.14
2022,1,3,9,30,0,0,0,140.72,67.3
2022,1,3,10,30,0,0,0,127.76,68.93
2022,1,3,11,30,0,0,0,114.97,68.53
2022,1,3,12,30,0,0,0,102.5,67.2
2022,1,3,13,30,0,0,0,89.94,58.620000000000005
2022,1,3,14,30,174,754,33,79.22,47.79
2022,1,3,15,30,371,921,44,69.19,33.28
2022,1,3,16,30,534,993,51,60.88,24.39
2022,1,3,17,30,636,1017,54,55.120000000000005,21.96
2022,1,3,18,30,681,1022,63,52.77,21.06
2022,1,3,19,30,654,1016,61,54.28,20.66
2022,1,3,20,30,560,986,58,59.34,20.94
2022,1,3,21,30,410,916,54,67.16,22.45
2022,1,3,22,30,218,773,42,76.87,33.89
2022,1,3,23,30,31,358,16,87.66,60.4
2022,1,4,0,30,0,0,0,99.78,58.61
2022,1,4,1,30,0,0,0,112.16,57.35
2022,1,4,2,30,0,0,0,124.89,58.02
2022,1,4,3,30,0,0,0,137.82,58.870000000000005
2022,1,4,4,30,0,0,0,150.78,59.52
2022,1,4,5,30,0,0,0,163.38,59.99
2022,1,4,6,30,0,0,0,172.56,60.26
2022,1,4,7,30,0,0,0,166.06,61.9
2022,1,4,8,30,0,0,0,153.71,67.47
2022,1,4,9,30,0,0,0,140.78,73.62
2022,1,4,10,30,0,0,0,127.82000000000001,75.98
