Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1599828,-,-,-,28,-97.01,0,0,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,100.3,96.76
2022,1,1,1,30,0,0,0,112.91,97.16
2022,1,1,2,30,0,0,0,125.85000000000001,98.29
2022,1,1,3,30,0,0,0,138.99,98.29
2022,1,1,4,30,0,0,0,152.22,98.25
2022,1,1,5,30,0,0,0,165.28,98.5
2022,1,1,6,30,0,0,0,174.99,98.38
2022,1,1,7,30,0,0,0,165.89000000000001,97.02
2022,1,1,8,30,0,0,0,152.87,95.01
2022,1,1,9,30,0,0,0,139.64000000000001,92.63
2022,1,1,10,30,0,0,0,126.48,92.10000000000001
2022,1,1,11,30,0,0,0,113.52,94.77
2022,1,1,12,30,0,0,0,100.89,96.77
2022,1,1,13,30,7,0,7,88.44,96.03
2022,1,1,14,30,45,1,44,77.33,92.44
2022,1,1,15,30,358,741,71,67.16,86.84
2022,1,1,16,30,513,848,73,58.78,78.57000000000001
2022,1,1,17,30,615,901,74,53.07,70.64
2022,1,1,18,30,649,896,85,50.94,64.94
2022,1,1,19,30,619,888,83,52.84,61.08
2022,1,1,20,30,526,857,77,58.36,58.9
2022,1,1,21,30,376,767,72,66.62,62.96
2022,1,1,22,30,192,596,54,76.7,76.10000000000001
2022,1,1,23,30,15,1,15,87.8,89.4
2022,1,2,0,30,0,0,0,100.17,96.78
2022,1,2,1,30,0,0,0,112.77,100
2022,1,2,2,30,0,0,0,125.72,100
2022,1,2,3,30,0,0,0,138.87,100
2022,1,2,4,30,0,0,0,152.1,100
2022,1,2,5,30,0,0,0,165.14000000000001,100
2022,1,2,6,30,0,0,0,174.89000000000001,100
2022,1,2,7,30,0,0,0,165.96,100
2022,1,2,8,30,0,0,0,152.95000000000002,100
2022,1,2,9,30,0,0,0,139.71,95.51
2022,1,2,10,30,0,0,0,126.55,79.79
2022,1,2,11,30,0,0,0,113.59,80.09
2022,1,2,12,30,0,0,0,100.95,79.9
2022,1,2,13,30,9,0,9,88.45,78.35000000000001
2022,1,2,14,30,196,673,49,77.35000000000001,76.9
2022,1,2,15,30,399,871,61,67.17,72.15
2022,1,2,16,30,569,970,66,58.76,65.67
2022,1,2,17,30,674,1007,68,53.01,59.76
2022,1,2,18,30,711,1011,73,50.85,55.02
2022,1,2,19,30,679,1007,69,52.72,52.160000000000004
2022,1,2,20,30,579,977,64,58.230000000000004,51.54
2022,1,2,21,30,420,913,56,66.47,52.13
2022,1,2,22,30,222,772,42,76.55,54.5
2022,1,2,23,30,31,361,16,87.65,57.74
2022,1,3,0,30,0,0,0,100.03,61.68
2022,1,3,1,30,0,0,0,112.64,65.67
2022,1,3,2,30,0,0,0,125.58,69.26
2022,1,3,3,30,0,0,0,138.74,70.97
2022,1,3,4,30,0,0,0,151.97,72.77
2022,1,3,5,30,0,0,0,165.01,73.93
2022,1,3,6,30,0,0,0,174.79,74.69
2022,1,3,7,30,0,0,0,166.02,75.89
2022,1,3,8,30,0,0,0,153.02,77.55
2022,1,3,9,30,0,0,0,139.79,78.89
2022,1,3,10,30,0,0,0,126.62,79.93
2022,1,3,11,30,0,0,0,113.65,80.56
2022,1,3,12,30,0,0,0,101,80.57000000000001
2022,1,3,13,30,20,293,13,88.49,77.59
2022,1,3,14,30,206,755,41,77.38,70.21000000000001
2022,1,3,15,30,406,907,55,67.17,60.74
2022,1,3,16,30,569,977,62,58.730000000000004,55.410000000000004
2022,1,3,17,30,675,1010,66,52.95,52.5
2022,1,3,18,30,708,1007,71,50.75,49.22
2022,1,3,19,30,676,998,69,52.59,45.69
2022,1,3,20,30,577,967,66,58.09,43.57
2022,1,3,21,30,419,898,59,66.33,43.02
2022,1,3,22,30,222,752,46,76.41,44.83
2022,1,3,23,30,31,333,17,87.52,53.13
2022,1,4,0,30,0,0,0,99.89,52.68
2022,1,4,1,30,0,0,0,112.5,52.4
2022,1,4,2,30,0,0,0,125.45,53.22
2022,1,4,3,30,0,0,0,138.6,55.04
2022,1,4,4,30,0,0,0,151.83,57.19
2022,1,4,5,30,0,0,0,164.87,58.96
2022,1,4,6,30,0,0,0,174.68,60.2
2022,1,4,7,30,0,0,0,166.07,61.53
2022,1,4,8,30,0,0,0,153.09,64.17
2022,1,4,9,30,0,0,0,139.86,66.05
2022,1,4,10,30,0,0,0,126.69,66.79
2022,1,4,11,30,0,0,0,113.71000000000001,67.1
2022,1,4,12,30,0,0,0,101.05,68.13
2022,1,4,13,30,8,0,8,88.54,68.13
2022,1,4,14,30,188,640,48,77.4,67.69
2022,1,4,15,30,378,808,65,67.17,64.66
2022,1,4,16,30,533,885,73,58.7,63.83
2022,1,4,17,30,635,924,77,52.88,63.76
2022,1,4,18,30,335,41,309,50.65,64.31
2022,1,4,19,30,308,33,288,52.47,64.5
2022,1,4,20,30,287,42,265,57.95,65.31
2022,1,4,21,30,247,59,223,66.18,67.02
2022,1,4,22,30,202,606,58,76.26,70.97
2022,1,4,23,30,27,171,20,87.39,76.08
2022,1,5,0,30,0,0,0,99.75,77.65
2022,1,5,1,30,0,0,0,112.37,78.97
2022,1,5,2,30,0,0,0,125.32000000000001,80.62
2022,1,5,3,30,0,0,0,138.47,83.45
2022,1,5,4,30,0,0,0,151.70000000000002,85.91
2022,1,5,5,30,0,0,0,164.73,89.23
2022,1,5,6,30,0,0,0,174.56,92.2
2022,1,5,7,30,0,0,0,166.12,95.76
2022,1,5,8,30,0,0,0,153.16,98.37
2022,1,5,9,30,0,0,0,139.93,99.36
2022,1,5,10,30,0,0,0,126.75,99.3
