Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1356780,-,-,-,28,-100.01,0,166,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,97.83,42.44
2022,1,1,1,30,0,0,0,110.35000000000001,44.77
2022,1,1,2,30,0,0,0,123.24000000000001,49.730000000000004
2022,1,1,3,30,0,0,0,136.35,57.63
2022,1,1,4,30,0,0,0,149.58,65.96000000000001
2022,1,1,5,30,0,0,0,162.71,73.51
2022,1,1,6,30,0,0,0,174.15,77.59
2022,1,1,7,30,0,0,0,168.38,77
2022,1,1,8,30,0,0,0,155.51,69.14
2022,1,1,9,30,0,0,0,142.28,55.980000000000004
2022,1,1,10,30,0,0,0,129.1,47.980000000000004
2022,1,1,11,30,0,0,0,116.09,48.31
2022,1,1,12,30,0,0,0,103.38,50.94
2022,1,1,13,30,0,0,0,91.14,49.06
2022,1,1,14,30,114,95,96,79.51,43.800000000000004
2022,1,1,15,30,232,194,163,69.08,39.2
2022,1,1,16,30,514,920,58,60.28,35.56
2022,1,1,17,30,446,309,264,53.95,32.81
2022,1,1,18,30,541,502,225,51.050000000000004,29.39
2022,1,1,19,30,660,972,64,52.14,24.91
2022,1,1,20,30,252,41,230,57.01,21.1
2022,1,1,21,30,133,12,128,64.79,19.07
2022,1,1,22,30,85,8,83,74.57000000000001,24.22
2022,1,1,23,30,43,24,41,85.57000000000001,30.76
2022,1,2,0,30,0,0,0,97.7,32.63
2022,1,2,1,30,0,0,0,110.22,36.79
2022,1,2,2,30,0,0,0,123.11,42.96
2022,1,2,3,30,0,0,0,136.22,48.76
2022,1,2,4,30,0,0,0,149.45000000000002,50.74
2022,1,2,5,30,0,0,0,162.58,48.19
2022,1,2,6,30,0,0,0,174.02,43.62
2022,1,2,7,30,0,0,0,168.44,37.37
2022,1,2,8,30,0,0,0,155.58,36.04
2022,1,2,9,30,0,0,0,142.36,37.15
2022,1,2,10,30,0,0,0,129.17000000000002,37.57
2022,1,2,11,30,0,0,0,116.16,39.01
2022,1,2,12,30,0,0,0,103.44,40.94
2022,1,2,13,30,0,0,0,91.19,42.25
2022,1,2,14,30,165,661,45,79.54,38.99
2022,1,2,15,30,373,871,62,69.09,30.7
2022,1,2,16,30,548,962,71,60.26,23.900000000000002
2022,1,2,17,30,668,1005,76,53.9,19.89
2022,1,2,18,30,719,1013,81,50.96,17.47
