Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1196642,-,-,-,35,-102.01,0,1127,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,98.87,70.87
2022,1,1,1,30,0,0,0,110.53,75.57000000000001
2022,1,1,2,30,0,0,0,122.60000000000001,79.93
2022,1,1,3,30,0,0,0,134.85,85.56
2022,1,1,4,30,0,0,0,147.05,90.64
2022,1,1,5,30,0,0,0,158.6,93.79
2022,1,1,6,30,0,0,0,167.12,95.07000000000001
2022,1,1,7,30,0,0,0,165.35,98.02
2022,1,1,8,30,0,0,0,155.44,96.41
2022,1,1,9,30,0,0,0,143.6,94.83
2022,1,1,10,30,0,0,0,131.35,95.86
2022,1,1,11,30,0,0,0,119.13,95.42
2022,1,1,12,30,0,0,0,107.15,94.22
2022,1,1,13,30,0,0,0,95.63,96.15
2022,1,1,14,30,70,456,27,84.7,98.95
2022,1,1,15,30,112,3,111,75.06,91.83
2022,1,1,16,30,207,16,201,66.96000000000001,75.11
2022,1,1,17,30,512,897,78,61.09,61.370000000000005
2022,1,1,18,30,570,944,72,58.160000000000004,54.800000000000004
2022,1,1,19,30,440,282,294,58.64,54.96
2022,1,1,20,30,93,0,93,62.43,61.42
2022,1,1,21,30,65,0,65,68.99,62.99
2022,1,1,22,30,5,0,5,77.58,61.61
2022,1,1,23,30,14,0,14,87.46000000000001,60.03
2022,1,2,0,30,0,0,0,98.73,56.76
2022,1,2,1,30,0,0,0,110.4,54.08
2022,1,2,2,30,0,0,0,122.46000000000001,52.9
2022,1,2,3,30,0,0,0,134.72,52.64
2022,1,2,4,30,0,0,0,146.91,52.61
2022,1,2,5,30,0,0,0,158.46,52.74
2022,1,2,6,30,0,0,0,167,52.67
2022,1,2,7,30,0,0,0,165.34,51.84
2022,1,2,8,30,0,0,0,155.48,51.52
2022,1,2,9,30,0,0,0,143.66,52.34
2022,1,2,10,30,0,0,0,131.41,52.870000000000005
2022,1,2,11,30,0,0,0,119.18,53.14
2022,1,2,12,30,0,0,0,107.2,53.18
2022,1,2,13,30,0,0,0,95.67,50.72
2022,1,2,14,30,79,581,25,84.71000000000001,44.38
2022,1,2,15,30,264,858,43,75.07000000000001,36.82
2022,1,2,16,30,430,968,51,66.93,31.13
2022,1,2,17,30,539,1004,54,61.04,25.900000000000002
2022,1,2,18,30,597,1021,57,58.08,21.21
2022,1,2,19,30,588,1020,55,58.53,17.39
2022,1,2,20,30,514,996,51,62.31,15.14
2022,1,2,21,30,384,940,45,68.85000000000001,15.42
2022,1,2,22,30,212,811,36,77.44,31.42
2022,1,2,23,30,36,448,15,87.33,25.73
2022,1,3,0,30,0,0,0,98.59,22.1
2022,1,3,1,30,0,0,0,110.26,23.39
2022,1,3,2,30,0,0,0,122.32000000000001,25.96
2022,1,3,3,30,0,0,0,134.58,30.150000000000002
2022,1,3,4,30,0,0,0,146.77,32.54
2022,1,3,5,30,0,0,0,158.32,32.52
2022,1,3,6,30,0,0,0,166.88,31.78
2022,1,3,7,30,0,0,0,165.32,31.59
2022,1,3,8,30,0,0,0,155.52,33.43
2022,1,3,9,30,0,0,0,143.70000000000002,36.67
2022,1,3,10,30,0,0,0,131.46,41.43
2022,1,3,11,30,0,0,0,119.23,46.62
2022,1,3,12,30,0,0,0,107.24000000000001,51.85
2022,1,3,13,30,0,0,0,95.7,53.58
2022,1,3,14,30,76,598,21,84.73,49.86
2022,1,3,15,30,258,863,36,75.06,43.33
2022,1,3,16,30,422,966,43,66.91,34.57
2022,1,3,17,30,539,1013,47,60.980000000000004,21.53
2022,1,3,18,30,599,1023,57,58,17.64
2022,1,3,19,30,591,1020,57,58.42,16.56
2022,1,3,20,30,518,997,53,62.17,16.15
2022,1,3,21,30,389,932,50,68.71000000000001,17.77
2022,1,3,22,30,216,800,40,77.3,26.18
2022,1,3,23,30,38,428,17,87.2,35.39
2022,1,4,0,30,0,0,0,98.45,35.26
2022,1,4,1,30,0,0,0,110.12,35.69
2022,1,4,2,30,0,0,0,122.18,37.27
2022,1,4,3,30,0,0,0,134.44,38.44
2022,1,4,4,30,0,0,0,146.63,38.93
2022,1,4,5,30,0,0,0,158.17000000000002,39.11
2022,1,4,6,30,0,0,0,166.74,40.19
2022,1,4,7,30,0,0,0,165.29,41.49
2022,1,4,8,30,0,0,0,155.54,42.31
2022,1,4,9,30,0,0,0,143.75,41.78
2022,1,4,10,30,0,0,0,131.51,40.84
2022,1,4,11,30,0,0,0,119.27,39.77
2022,1,4,12,30,0,0,0,107.27,39.24
2022,1,4,13,30,0,0,0,95.73,36.67
2022,1,4,14,30,33,2,32,84.74,31.12
2022,1,4,15,30,173,129,139,75.06,24.11
2022,1,4,16,30,193,46,175,66.87,18.22
2022,1,4,17,30,124,3,122,60.92,13.43
2022,1,4,18,30,474,485,217,57.9,11.13
2022,1,4,19,30,455,408,241,58.300000000000004,10.34
2022,1,4,20,30,411,483,184,62.04,10.32
2022,1,4,21,30,246,167,185,68.57000000000001,11.69
2022,1,4,22,30,149,105,125,77.15,19.27
2022,1,4,23,30,23,3,22,87.06,27.04
2022,1,5,0,30,0,0,0,98.3,26.77
2022,1,5,1,30,0,0,0,109.97,27.63
2022,1,5,2,30,0,0,0,122.04,32.230000000000004
2022,1,5,3,30,0,0,0,134.3,38.19
2022,1,5,4,30,0,0,0,146.48,43.33
2022,1,5,5,30,0,0,0,158.02,48.42
2022,1,5,6,30,0,0,0,166.6,52.38
2022,1,5,7,30,0,0,0,165.25,56.07
2022,1,5,8,30,0,0,0,155.56,58.050000000000004
2022,1,5,9,30,0,0,0,143.79,62.440000000000005
2022,1,5,10,30,0,0,0,131.55,67.66
2022,1,5,11,30,0,0,0,119.31,73.9
2022,1,5,12,30,0,0,0,107.3,79.42
2022,1,5,13,30,0,0,0,95.74000000000001,78.64
