Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1196792,-,-,-,32,-102.01,0,836,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,97.74000000000001,75.10000000000001
2022,1,1,1,30,0,0,0,109.76,78.01
2022,1,1,2,30,0,0,0,122.19,79.7
2022,1,1,3,30,0,0,0,134.85,81.92
2022,1,1,4,30,0,0,0,147.54,82.64
2022,1,1,5,30,0,0,0,159.87,81.29
2022,1,1,6,30,0,0,0,169.82,79.74
2022,1,1,7,30,0,0,0,167.6,79.24
2022,1,1,8,30,0,0,0,156.45000000000002,78.91
2022,1,1,9,30,0,0,0,143.94,83.03
2022,1,1,10,30,0,0,0,131.23,91.16
2022,1,1,11,30,0,0,0,118.62,96.58
2022,1,1,12,30,0,0,0,106.28,93.92
2022,1,1,13,30,0,0,0,94.4,85.45
2022,1,1,14,30,96,580,27,83.10000000000001,73.02
2022,1,1,15,30,282,819,43,73.05,57.14
2022,1,1,16,30,447,914,54,64.53,44.18
2022,1,1,17,30,567,961,62,58.300000000000004,37.47
2022,1,1,18,30,623,973,68,55.18,32.78
2022,1,1,19,30,614,964,70,55.69,29.45
2022,1,1,20,30,538,931,69,59.74,26.89
2022,1,1,21,30,405,865,62,66.67,26.240000000000002
2022,1,1,22,30,227,715,50,75.68,28.54
2022,1,1,23,30,46,320,24,86.02,34.71
2022,1,2,0,30,0,0,0,97.60000000000001,41.230000000000004
2022,1,2,1,30,0,0,0,109.63,45.980000000000004
2022,1,2,2,30,0,0,0,122.06,46.21
2022,1,2,3,30,0,0,0,134.71,44.97
2022,1,2,4,30,0,0,0,147.4,54.65
2022,1,2,5,30,0,0,0,159.73,63.96
2022,1,2,6,30,0,0,0,169.70000000000002,60.660000000000004
2022,1,2,7,30,0,0,0,167.61,49.81
2022,1,2,8,30,0,0,0,156.5,44.01
2022,1,2,9,30,0,0,0,144,43.38
2022,1,2,10,30,0,0,0,131.29,44.49
2022,1,2,11,30,0,0,0,118.68,46.45
2022,1,2,12,30,0,0,0,106.33,48.550000000000004
2022,1,2,13,30,0,0,0,94.44,49.4
2022,1,2,14,30,103,603,31,83.12,44.08
2022,1,2,15,30,299,858,49,73.05,35.87
2022,1,2,16,30,470,960,57,64.51,29.650000000000002
2022,1,2,17,30,592,1007,62,58.26,25.46
2022,1,2,18,30,651,1029,62,55.1,22.240000000000002
2022,1,2,19,30,642,1028,60,55.58,20.02
2022,1,2,20,30,565,1006,57,59.61,19.09
2022,1,2,21,30,430,951,51,66.53,19.26
2022,1,2,22,30,249,833,41,75.54,22.23
2022,1,2,23,30,57,513,21,85.88,35.14
2022,1,3,0,30,0,0,0,97.46000000000001,38.730000000000004
2022,1,3,1,30,0,0,0,109.49000000000001,38.96
2022,1,3,2,30,0,0,0,121.92,38.83
2022,1,3,3,30,0,0,0,134.58,38.800000000000004
2022,1,3,4,30,0,0,0,147.27,39.87
2022,1,3,5,30,0,0,0,159.59,41.65
2022,1,3,6,30,0,0,0,169.56,42.59
2022,1,3,7,30,0,0,0,167.61,42.76
2022,1,3,8,30,0,0,0,156.55,43.800000000000004
2022,1,3,9,30,0,0,0,144.06,45.38
2022,1,3,10,30,0,0,0,131.35,46.42
2022,1,3,11,30,0,0,0,118.73,46.92
2022,1,3,12,30,0,0,0,106.38,46.43
2022,1,3,13,30,0,0,0,94.48,41.92
2022,1,3,14,30,103,644,27,83.15,36.24
2022,1,3,15,30,299,878,43,73.05,27.1
2022,1,3,16,30,470,973,51,64.49,21.16
2022,1,3,17,30,592,1020,54,58.2,16.18
2022,1,3,18,30,652,1036,58,55.01,13.84
2022,1,3,19,30,644,1034,58,55.47,12.59
2022,1,3,20,30,577,1024,57,59.480000000000004,11.94
2022,1,3,21,30,333,350,193,66.39,12.030000000000001
2022,1,3,22,30,257,844,44,75.4,16.16
2022,1,3,23,30,38,7,37,85.74,27.64
2022,1,4,0,30,0,0,0,97.32000000000001,27.86
2022,1,4,1,30,0,0,0,109.35000000000001,26.62
2022,1,4,2,30,0,0,0,121.78,25.12
2022,1,4,3,30,0,0,0,134.44,25.02
2022,1,4,4,30,0,0,0,147.13,26.6
2022,1,4,5,30,0,0,0,159.45000000000002,27.94
2022,1,4,6,30,0,0,0,169.42000000000002,29.34
2022,1,4,7,30,0,0,0,167.6,31.05
2022,1,4,8,30,0,0,0,156.59,33.47
2022,1,4,9,30,0,0,0,144.12,35.93
2022,1,4,10,30,0,0,0,131.41,37.65
2022,1,4,11,30,0,0,0,118.79,38.09
2022,1,4,12,30,0,0,0,106.43,38.37
2022,1,4,13,30,0,0,0,94.51,36.31
2022,1,4,14,30,103,632,28,83.16,30.810000000000002
2022,1,4,15,30,299,876,44,73.05,24.69
2022,1,4,16,30,472,972,53,64.46000000000001,20.11
2022,1,4,17,30,588,1006,57,58.14,16.21
2022,1,4,18,30,649,1020,63,54.92,13.35
2022,1,4,19,30,636,1009,62,55.35,11.39
2022,1,4,20,30,561,984,59,59.34,10.02
2022,1,4,21,30,428,919,57,66.24,10.040000000000001
2022,1,4,22,30,249,800,45,75.25,15.09
2022,1,4,23,30,59,477,23,85.60000000000001,23.81
2022,1,5,0,30,0,0,0,97.17,25.27
2022,1,5,1,30,0,0,0,109.21000000000001,26.03
2022,1,5,2,30,0,0,0,121.64,27.78
2022,1,5,3,30,0,0,0,134.3,30.080000000000002
2022,1,5,4,30,0,0,0,146.99,32.28
2022,1,5,5,30,0,0,0,159.3,33.97
