Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1356630,-,-,-,31,-100.01,0,668,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2022,1,1,0,30,0,0,0,98.95,56.2
2022,1,1,1,30,0,0,0,111.15,60.01
2022,1,1,2,30,0,0,0,123.73,63.51
2022,1,1,3,30,0,0,0,136.52,65.64
2022,1,1,4,30,0,0,0,149.35,64.94
2022,1,1,5,30,0,0,0,161.82,64.43
2022,1,1,6,30,0,0,0,171.46,66.94
2022,1,1,7,30,0,0,0,166.92000000000002,69.37
2022,1,1,8,30,0,0,0,155.04,71.68
2022,1,1,9,30,0,0,0,142.29,74.96000000000001
2022,1,1,10,30,0,0,0,129.45,80.49
2022,1,1,11,30,0,0,0,116.75,82.45
2022,1,1,12,30,0,0,0,104.35000000000001,80.12
2022,1,1,13,30,0,0,0,92.43,75.24
2022,1,1,14,30,102,126,83,81.15,65.36
2022,1,1,15,30,274,446,130,71.12,53.17
2022,1,1,16,30,479,942,47,62.730000000000004,36.28
2022,1,1,17,30,589,982,51,56.76,26.66
2022,1,1,18,30,637,998,51,54.04,24.03
2022,1,1,19,30,617,987,52,55.06,22.75
2022,1,1,20,30,536,955,52,59.63,22.25
2022,1,1,21,30,397,884,52,67.02,22.57
2022,1,1,22,30,217,742,42,76.39,26.650000000000002
2022,1,1,23,30,37,349,18,86.97,39.78
2022,1,2,0,30,0,0,0,98.81,45.6
2022,1,2,1,30,0,0,0,111.02,47.35
2022,1,2,2,30,0,0,0,123.60000000000001,47.54
2022,1,2,3,30,0,0,0,136.39000000000001,48.35
2022,1,2,4,30,0,0,0,149.22,54.07
2022,1,2,5,30,0,0,0,161.69,60.480000000000004
2022,1,2,6,30,0,0,0,171.34,62.99
2022,1,2,7,30,0,0,0,166.95000000000002,65.45
2022,1,2,8,30,0,0,0,155.1,64.9
2022,1,2,9,30,0,0,0,142.36,59.5
2022,1,2,10,30,0,0,0,129.52,54.81
2022,1,2,11,30,0,0,0,116.81,52.93
