Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1724584,-,-,-,30,-95.01,0,23,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2023,1,1,0,30,0,0,0,102.66,86.48
2023,1,1,1,30,0,0,0,115.12,90.24
2023,1,1,2,30,0,0,0,127.89,96.5
2023,1,1,3,30,0,0,0,140.84,100
2023,1,1,4,30,0,0,0,153.79,100
2023,1,1,5,30,0,0,0,166.19,100
2023,1,1,6,30,0,0,0,172.86,100
2023,1,1,7,30,0,0,0,163.56,100
2023,1,1,8,30,0,0,0,150.93,100
2023,1,1,9,30,0,0,0,137.96,100
2023,1,1,10,30,0,0,0,125.04,100
2023,1,1,11,30,0,0,0,112.31,100
2023,1,1,12,30,0,0,0,99.94,100
2023,1,1,13,30,21,107,17,87.84,99.54
2023,1,1,14,30,181,531,62,77.07000000000001,91.32000000000001
2023,1,1,15,30,357,708,84,67.37,86.68
2023,1,1,16,30,496,791,96,59.57,82.82000000000001
2023,1,1,17,30,161,0,161,54.5,78.31
2023,1,1,18,30,602,804,118,52.980000000000004,75.72
2023,1,1,19,30,559,773,120,55.300000000000004,75.56
2023,1,1,20,30,458,713,113,61.02,77.49
2023,1,1,21,30,310,609,95,69.29,82.45
2023,1,1,22,30,137,404,61,79.29,93.22
2023,1,1,23,30,0,0,0,90.02,99.55
2023,1,2,0,30,0,0,0,102.53,100
2023,1,2,1,30,0,0,0,114.99000000000001,100
2023,1,2,2,30,0,0,0,127.76,100
2023,1,2,3,30,0,0,0,140.71,100
2023,1,2,4,30,0,0,0,153.65,100
2023,1,2,5,30,0,0,0,166.06,100
2023,1,2,6,30,0,0,0,172.8,100
2023,1,2,7,30,0,0,0,163.62,100
2023,1,2,8,30,0,0,0,151,100
2023,1,2,9,30,0,0,0,138.03,100
2023,1,2,10,30,0,0,0,125.10000000000001,99.76
2023,1,2,11,30,0,0,0,112.38,99.61
2023,1,2,12,30,0,0,0,100,99.55
2023,1,2,13,30,19,73,16,87.88,99.08
2023,1,2,14,30,167,435,70,77.09,98.28
2023,1,2,15,30,43,0,43,67.38,97.11
2023,1,2,16,30,201,4,199,59.54,93.33
2023,1,2,17,30,114,0,114,54.44,89.31
2023,1,2,18,30,69,0,69,52.89,86.04
2023,1,2,19,30,11,0,11,55.18,87.09
2023,1,2,20,30,10,0,10,60.89,91.02
2023,1,2,21,30,28,0,28,69.16,94.96000000000001
2023,1,2,22,30,10,0,10,79.16,98.45
2023,1,2,23,30,0,0,0,89.91,99.99000000000001
2023,1,3,0,30,0,0,0,102.39,100
2023,1,3,1,30,0,0,0,114.85000000000001,100
2023,1,3,2,30,0,0,0,127.63000000000001,100
2023,1,3,3,30,0,0,0,140.58,100
2023,1,3,4,30,0,0,0,153.52,100
2023,1,3,5,30,0,0,0,165.92000000000002,100
2023,1,3,6,30,0,0,0,172.73,100
2023,1,3,7,30,0,0,0,163.67000000000002,100
2023,1,3,8,30,0,0,0,151.07,100
2023,1,3,9,30,0,0,0,138.1,100
2023,1,3,10,30,0,0,0,125.17,100
2023,1,3,11,30,0,0,0,112.43,100
2023,1,3,12,30,0,0,0,100.05,100
2023,1,3,13,30,11,0,11,87.92,98.22
2023,1,3,14,30,179,545,57,77.11,96.83
2023,1,3,15,30,54,0,54,67.37,93.66
2023,1,3,16,30,494,794,91,59.51,86.52
2023,1,3,17,30,585,840,95,54.38,71.91
2023,1,3,18,30,610,836,104,52.79,64.04
2023,1,3,19,30,489,364,281,55.06,59.69
2023,1,3,20,30,477,793,90,60.75,58.550000000000004
2023,1,3,21,30,327,691,80,69.01,63.730000000000004
2023,1,3,22,30,152,531,51,79.01,80.93
2023,1,3,23,30,0,0,0,89.78,84.12
2023,1,4,0,30,0,0,0,102.25,80.08
2023,1,4,1,30,0,0,0,114.72,78.72
2023,1,4,2,30,0,0,0,127.5,79.27
2023,1,4,3,30,0,0,0,140.45000000000002,80.14
2023,1,4,4,30,0,0,0,153.39000000000001,80.81
2023,1,4,5,30,0,0,0,165.77,81.66
2023,1,4,6,30,0,0,0,172.65,82.67
2023,1,4,7,30,0,0,0,163.71,83.52
2023,1,4,8,30,0,0,0,151.13,84.3
2023,1,4,9,30,0,0,0,138.17000000000002,81.55
2023,1,4,10,30,0,0,0,125.23,75.03
2023,1,4,11,30,0,0,0,112.49000000000001,68.95
2023,1,4,12,30,0,0,0,100.09,68.85000000000001
2023,1,4,13,30,25,282,15,87.93,68.55
2023,1,4,14,30,204,714,45,77.12,65.92
2023,1,4,15,30,390,856,61,67.36,58.68
2023,1,4,16,30,540,927,69,59.47,58.26
2023,1,4,17,30,631,957,72,54.300000000000004,54.52
2023,1,4,18,30,659,971,71,52.68,51.26
2023,1,4,19,30,620,962,67,54.93,48.82
2023,1,4,20,30,516,925,63,60.61,48.95
2023,1,4,21,30,359,831,59,68.87,57.47
2023,1,4,22,30,168,645,43,78.86,81.32000000000001
2023,1,4,23,30,0,0,0,89.65,76.44
2023,1,5,0,30,0,0,0,102.11,72.62
2023,1,5,1,30,0,0,0,114.58,70.55
2023,1,5,2,30,0,0,0,127.36,71.67
2023,1,5,3,30,0,0,0,140.31,73.06
2023,1,5,4,30,0,0,0,153.25,72.27
2023,1,5,5,30,0,0,0,165.63,72.45
2023,1,5,6,30,0,0,0,172.56,75.73
2023,1,5,7,30,0,0,0,163.74,79.52
2023,1,5,8,30,0,0,0,151.19,83.76
2023,1,5,9,30,0,0,0,138.23,87.03
2023,1,5,10,30,0,0,0,125.29,91.35000000000001
2023,1,5,11,30,0,0,0,112.54,97.12
2023,1,5,12,30,0,0,0,100.13,100
2023,1,5,13,30,23,211,16,87.95,89.96000000000001
2023,1,5,14,30,197,654,51,77.13,78.35000000000001
2023,1,5,15,30,384,815,70,67.34,67.67
2023,1,5,16,30,533,889,81,59.42,59.82
2023,1,5,17,30,623,915,88,54.22,53.93
2023,1,5,18,30,654,943,80,52.57,48.71
2023,1,5,19,30,611,916,83,54.79,46.76
