Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1599578,-,-,-,33,-97.01,0,162,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2023,1,1,0,30,0,0,0,102.06,74.65
2023,1,1,1,30,0,0,0,114.13,76.18
2023,1,1,2,30,0,0,0,126.53,77.82000000000001
2023,1,1,3,30,0,0,0,139.09,79.3
2023,1,1,4,30,0,0,0,151.55,81.67
2023,1,1,5,30,0,0,0,163.22,84.16
2023,1,1,6,30,0,0,0,170.01,86.16
2023,1,1,7,30,0,0,0,163.69,87.21000000000001
2023,1,1,8,30,0,0,0,152.1,88.37
2023,1,1,9,30,0,0,0,139.65,87.19
2023,1,1,10,30,0,0,0,127.09,84.78
2023,1,1,11,30,0,0,0,114.67,85.05
2023,1,1,12,30,0,0,0,102.58,86.33
2023,1,1,13,30,0,0,0,91.02,85.66
2023,1,1,14,30,53,5,52,80.19,81.61
2023,1,1,15,30,256,343,143,70.71000000000001,74.33
2023,1,1,16,30,326,257,209,63.01,66.71000000000001
2023,1,1,17,30,356,177,262,57.85,60.07
2023,1,1,18,30,481,362,278,55.96,55.5
2023,1,1,19,30,558,914,69,57.660000000000004,54.01
2023,1,1,20,30,384,502,153,62.65,55.120000000000005
2023,1,1,21,30,316,588,118,70.24,64.02
2023,1,1,22,30,122,195,87,79.64,80.79
2023,1,1,23,30,0,0,0,89.88,86.13
2023,1,2,0,30,0,0,0,101.93,88.8
2023,1,2,1,30,0,0,0,114,93.61
2023,1,2,2,30,0,0,0,126.4,100
2023,1,2,3,30,0,0,0,138.96,100
2023,1,2,4,30,0,0,0,151.42000000000002,100
2023,1,2,5,30,0,0,0,163.08,100
2023,1,2,6,30,0,0,0,169.93,100
2023,1,2,7,30,0,0,0,163.71,100
2023,1,2,8,30,0,0,0,152.16,100
2023,1,2,9,30,0,0,0,139.71,100
2023,1,2,10,30,0,0,0,127.15,100
2023,1,2,11,30,0,0,0,114.73,100
2023,1,2,12,30,0,0,0,102.63,100
2023,1,2,13,30,0,0,0,91.06,97.73
2023,1,2,14,30,118,331,61,80.21000000000001,93.33
2023,1,2,15,30,37,0,37,70.72,88.62
2023,1,2,16,30,94,0,94,62.99,84.46000000000001
2023,1,2,17,30,447,315,280,57.79,81.28
2023,1,2,18,30,101,1,101,55.870000000000005,79.92
2023,1,2,19,30,407,203,298,57.54,80.01
2023,1,2,20,30,33,0,33,62.53,82.38
2023,1,2,21,30,82,3,81,70.10000000000001,86.31
2023,1,2,22,30,112,98,94,79.5,91.9
2023,1,2,23,30,0,0,0,89.78,95.58
2023,1,3,0,30,0,0,0,101.79,98.81
2023,1,3,1,30,0,0,0,113.86,100
2023,1,3,2,30,0,0,0,126.26,100
2023,1,3,3,30,0,0,0,138.82,100
2023,1,3,4,30,0,0,0,151.28,96.16
2023,1,3,5,30,0,0,0,162.94,86.62
2023,1,3,6,30,0,0,0,169.83,75.96000000000001
2023,1,3,7,30,0,0,0,163.73,69.4
2023,1,3,8,30,0,0,0,152.21,65.63
2023,1,3,9,30,0,0,0,139.77,63.730000000000004
2023,1,3,10,30,0,0,0,127.21000000000001,62.18
2023,1,3,11,30,0,0,0,114.78,63.14
2023,1,3,12,30,0,0,0,102.67,67.6
2023,1,3,13,30,0,0,0,91.09,64.79
2023,1,3,14,30,94,40,88,80.23,55.17
2023,1,3,15,30,325,826,52,70.71000000000001,47.27
2023,1,3,16,30,318,246,206,62.95,43.45
2023,1,3,17,30,311,85,265,57.730000000000004,41.1
2023,1,3,18,30,600,941,70,55.77,39.2
2023,1,3,19,30,566,924,69,57.42,37.89
2023,1,3,20,30,371,419,177,62.39,38.28
2023,1,3,21,30,233,172,174,69.96000000000001,41.54
2023,1,3,22,30,155,433,75,79.35000000000001,57.46
2023,1,3,23,30,0,0,0,89.64,68.81
2023,1,4,0,30,0,0,0,101.65,70.23
2023,1,4,1,30,0,0,0,113.72,72.42
2023,1,4,2,30,0,0,0,126.13000000000001,74.06
2023,1,4,3,30,0,0,0,138.68,76.88
2023,1,4,4,30,0,0,0,151.14000000000001,79.37
2023,1,4,5,30,0,0,0,162.79,81.67
2023,1,4,6,30,0,0,0,169.72,83.57000000000001
2023,1,4,7,30,0,0,0,163.74,84.58
2023,1,4,8,30,0,0,0,152.25,83.68
2023,1,4,9,30,0,0,0,139.83,82.16
2023,1,4,10,30,0,0,0,127.26,81.86
2023,1,4,11,30,0,0,0,114.83,83.87
2023,1,4,12,30,0,0,0,102.71000000000001,85.49
2023,1,4,13,30,0,0,0,91.12,79.66
2023,1,4,14,30,146,631,39,80.23,71.05
2023,1,4,15,30,328,825,56,70.69,57.92
2023,1,4,16,30,479,908,65,62.910000000000004,48.89
2023,1,4,17,30,577,946,71,57.660000000000004,48.1
