Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1724484,-,-,-,32,-95.01,0,108,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2023,1,1,0,30,0,0,0,103.32000000000001,86.29
2023,1,1,1,30,0,0,0,115.56,85.51
2023,1,1,2,30,0,0,0,128.11,87.35000000000001
2023,1,1,3,30,0,0,0,140.81,88.58
2023,1,1,4,30,0,0,0,153.42000000000002,89.91
2023,1,1,5,30,0,0,0,165.17000000000002,91.54
2023,1,1,6,30,0,0,0,170.9,93.88
2023,1,1,7,30,0,0,0,162.74,96.36
2023,1,1,8,30,0,0,0,150.65,96.72
2023,1,1,9,30,0,0,0,137.99,96.49000000000001
2023,1,1,10,30,0,0,0,125.3,97.11
2023,1,1,11,30,0,0,0,112.8,97.98
2023,1,1,12,30,0,0,0,100.65,97.56
2023,1,1,13,30,16,165,12,88.7,92.04
2023,1,1,14,30,11,0,11,78.25,84.15
2023,1,1,15,30,40,0,40,68.83,78.58
2023,1,1,16,30,82,1,82,61.29,77.75
2023,1,1,17,30,81,0,81,56.43,74.73
2023,1,1,18,30,413,144,330,54.980000000000004,70.9
2023,1,1,19,30,214,3,212,57.2,70.08
2023,1,1,20,30,259,113,207,62.690000000000005,73.77
2023,1,1,21,30,239,209,170,70.7,82.02
2023,1,1,22,30,53,3,52,80.42,92.98
2023,1,1,23,30,0,0,0,91.46000000000001,97.46000000000001
2023,1,2,0,30,0,0,0,103.19,99.16
2023,1,2,1,30,0,0,0,115.43,99.82000000000001
2023,1,2,2,30,0,0,0,127.98,100
2023,1,2,3,30,0,0,0,140.68,100
2023,1,2,4,30,0,0,0,153.28,100
2023,1,2,5,30,0,0,0,165.04,100
2023,1,2,6,30,0,0,0,170.83,100
2023,1,2,7,30,0,0,0,162.78,100
2023,1,2,8,30,0,0,0,150.71,100
2023,1,2,9,30,0,0,0,138.06,99.95
2023,1,2,10,30,0,0,0,125.37,100
2023,1,2,11,30,0,0,0,112.86,100
2023,1,2,12,30,0,0,0,100.7,100
2023,1,2,13,30,4,0,4,88.74,96.3
2023,1,2,14,30,155,490,55,78.27,94.76
2023,1,2,15,30,94,0,94,68.83,95.61
2023,1,2,16,30,167,1,167,61.26,95.78
