Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1599628,-,-,-,32,-97.01,0,204,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2023,1,1,0,30,0,0,0,101.72,61.89
2023,1,1,1,30,0,0,0,113.91,65.05
2023,1,1,2,30,0,0,0,126.43,67.51
2023,1,1,3,30,0,0,0,139.12,70.05
2023,1,1,4,30,0,0,0,151.76,74
2023,1,1,5,30,0,0,0,163.73,77.75
2023,1,1,6,30,0,0,0,171.01,78.99
2023,1,1,7,30,0,0,0,164.23,80.39
2023,1,1,8,30,0,0,0,152.32,82.54
2023,1,1,9,30,0,0,0,139.69,86.48
2023,1,1,10,30,0,0,0,126.99000000000001,89.7
2023,1,1,11,30,0,0,0,114.45,92.49
2023,1,1,12,30,0,0,0,102.25,95.24
2023,1,1,13,30,0,0,0,90.01,92.53
2023,1,1,14,30,89,21,85,79.61,83.77
2023,1,1,15,30,328,780,61,70,73.67
2023,1,1,16,30,476,869,70,62.160000000000004,65.65
2023,1,1,17,30,425,335,242,56.9,60.480000000000004
2023,1,1,18,30,351,146,267,54.96,57.89
2023,1,1,19,30,410,299,246,56.7,57.08
2023,1,1,20,30,479,855,75,61.800000000000004,57.95
2023,1,1,21,30,329,733,73,69.51,65.31
2023,1,1,22,30,153,527,53,79.05,81.32000000000001
2023,1,1,23,30,0,0,0,89.49,89.60000000000001
2023,1,2,0,30,0,0,0,101.59,92.89
2023,1,2,1,30,0,0,0,113.77,96.04
2023,1,2,2,30,0,0,0,126.29,99.71000000000001
2023,1,2,3,30,0,0,0,138.99,100
2023,1,2,4,30,0,0,0,151.62,100
2023,1,2,5,30,0,0,0,163.59,100
2023,1,2,6,30,0,0,0,170.92000000000002,100
2023,1,2,7,30,0,0,0,164.26,100
2023,1,2,8,30,0,0,0,152.38,100
2023,1,2,9,30,0,0,0,139.75,100
2023,1,2,10,30,0,0,0,127.05,100
2023,1,2,11,30,0,0,0,114.51,100
2023,1,2,12,30,0,0,0,102.3,100
2023,1,2,13,30,0,0,0,90.06,98.71000000000001
2023,1,2,14,30,111,71,98,79.64,93.54
2023,1,2,15,30,32,0,32,70,89.21000000000001
2023,1,2,16,30,93,0,93,62.14,85.32000000000001
2023,1,2,17,30,364,89,315,56.84,83.29
2023,1,2,18,30,101,0,101,54.870000000000005,80.41
2023,1,2,19,30,154,0,154,56.58,78.28
