Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1520680,-,-,-,26,-98.01,0,30,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,GHI,DNI,DHI,Solar Zenith Angle,Relative Humidity
2023,1,1,0,30,0,0,0,98.78,70.01
2023,1,1,1,30,0,0,0,111.55,80.82000000000001
2023,1,1,2,30,0,0,0,124.65,95.52
2023,1,1,3,30,0,0,0,137.96,100
2023,1,1,4,30,0,0,0,151.41,100
2023,1,1,5,30,0,0,0,164.85,100
2023,1,1,6,30,0,0,0,176.78,100
2023,1,1,7,30,0,0,0,167.23,100
2023,1,1,8,30,0,0,0,153.81,100
2023,1,1,9,30,0,0,0,140.35,100
2023,1,1,10,30,0,0,0,127,100
2023,1,1,11,30,0,0,0,113.86,100
2023,1,1,12,30,0,0,0,101.02,100
2023,1,1,13,30,18,131,14,88.32000000000001,100
2023,1,1,14,30,189,589,56,76.92,84.85000000000001
2023,1,1,15,30,382,764,76,66.41,70.7
2023,1,1,16,30,540,842,89,57.620000000000005,58.13
2023,1,1,17,30,643,877,97,51.47,49.67
2023,1,1,18,30,674,847,119,48.980000000000004,44.88
2023,1,1,19,30,644,828,119,50.69,43.04
2023,1,1,20,30,548,780,114,56.230000000000004,43.050000000000004
2023,1,1,21,30,394,671,106,64.6,45.88
2023,1,1,22,30,209,496,79,74.85000000000001,55.1
2023,1,1,23,30,35,137,26,86.2,69.28
2023,1,2,0,30,0,0,0,98.65,82.11
2023,1,2,1,30,0,0,0,111.42,94.25
2023,1,2,2,30,0,0,0,124.52,99.68
2023,1,2,3,30,0,0,0,137.84,100
2023,1,2,4,30,0,0,0,151.28,100
2023,1,2,5,30,0,0,0,164.73,100
2023,1,2,6,30,0,0,0,176.66,100
2023,1,2,7,30,0,0,0,167.31,100
2023,1,2,8,30,0,0,0,153.9,100
2023,1,2,9,30,0,0,0,140.44,100
2023,1,2,10,30,0,0,0,127.08,100
2023,1,2,11,30,0,0,0,113.93,100
2023,1,2,12,30,0,0,0,101.08,100
2023,1,2,13,30,14,50,12,88.38,95.85000000000001
2023,1,2,14,30,30,0,30,76.96000000000001,83.55
2023,1,2,15,30,354,625,104,66.43,71.07000000000001
2023,1,2,16,30,379,255,243,57.61,58.82
2023,1,2,17,30,616,789,124,51.42,49.96
2023,1,2,18,30,530,382,279,48.89,43.68
2023,1,2,19,30,643,847,105,50.58,39.27
2023,1,2,20,30,558,835,92,56.1,37.33
2023,1,2,21,30,250,38,234,64.47,38.63
2023,1,2,22,30,161,102,134,74.71000000000001,49.14
2023,1,2,23,30,30,3,30,86.07000000000001,66.57000000000001
2023,1,3,0,30,0,0,0,98.51,83.88
2023,1,3,1,30,0,0,0,111.28,96.16
2023,1,3,2,30,0,0,0,124.39,99.86
2023,1,3,3,30,0,0,0,137.71,100
2023,1,3,4,30,0,0,0,151.16,100
2023,1,3,5,30,0,0,0,164.6,100
2023,1,3,6,30,0,0,0,176.53,100
2023,1,3,7,30,0,0,0,167.38,100
2023,1,3,8,30,0,0,0,153.98,100
2023,1,3,9,30,0,0,0,140.52,100
2023,1,3,10,30,0,0,0,127.16,88.44
2023,1,3,11,30,0,0,0,114,68.73
2023,1,3,12,30,0,0,0,101.14,55.13
2023,1,3,13,30,18,159,13,88.41,46.2
